---------- /Tickets List/ ---------

Ticket[key= BOOKKEEPER-38, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.0.0, affectedVersions= [4.0.0], numOfCommits= 2, creationDate= 2011-08-08, resolutionDate= 2011-08-23]

Ticket[key= BOOKKEEPER-39, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.0.0, affectedVersions= [4.0.0], numOfCommits= 1, creationDate= 2011-08-08, resolutionDate= 2011-11-28]

Ticket[key= BOOKKEEPER-43, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.0.0, affectedVersions= [4.0.0], numOfCommits= 1, creationDate= 2011-08-11, resolutionDate= 2011-08-23]

Ticket[key= BOOKKEEPER-50, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.0.0, affectedVersions= [4.0.0], numOfCommits= 1, creationDate= 2011-08-18, resolutionDate= 2011-11-04]

Ticket[key= BOOKKEEPER-51, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.0.0, affectedVersions= [4.0.0], numOfCommits= 1, creationDate= 2011-08-18, resolutionDate= 2011-08-30]

Ticket[key= BOOKKEEPER-52, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.0.0, affectedVersions= [4.0.0], numOfCommits= 1, creationDate= 2011-08-18, resolutionDate= 2011-08-30]

Ticket[key= BOOKKEEPER-53, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.0.0, affectedVersions= [4.0.0], numOfCommits= 1, creationDate= 2011-08-25, resolutionDate= 2011-11-28]

Ticket[key= BOOKKEEPER-55, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.1.1, affectedVersions= [4.0.0], numOfCommits= 1, creationDate= 2011-08-25, resolutionDate= 2013-01-02]

Ticket[key= BOOKKEEPER-56, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.1.0, affectedVersions= [4.0.0], numOfCommits= 2, creationDate= 2011-08-26, resolutionDate= 2012-04-28]

Ticket[key= BOOKKEEPER-57, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.0.0, affectedVersions= [4.0.0], numOfCommits= 1, creationDate= 2011-08-29, resolutionDate= 2011-08-31]

Ticket[key= BOOKKEEPER-61, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.0.0, affectedVersions= [4.0.0], numOfCommits= 2, creationDate= 2011-08-30, resolutionDate= 2011-10-07]

Ticket[key= BOOKKEEPER-69, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.0.0, affectedVersions= [4.0.0], numOfCommits= 1, creationDate= 2011-09-28, resolutionDate= 2011-11-18]

Ticket[key= BOOKKEEPER-71, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.0.0, affectedVersions= [4.0.0], numOfCommits= 1, creationDate= 2011-09-29, resolutionDate= 2011-10-28]

Ticket[key= BOOKKEEPER-79, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.0.0, affectedVersions= [4.0.0], numOfCommits= 1, creationDate= 2011-10-14, resolutionDate= 2011-11-21]

Ticket[key= BOOKKEEPER-80, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.0.0, affectedVersions= [4.0.0], numOfCommits= 1, creationDate= 2011-10-14, resolutionDate= 2011-11-08]

Ticket[key= BOOKKEEPER-81, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.0.0, affectedVersions= [4.0.0], numOfCommits= 1, creationDate= 2011-10-14, resolutionDate= 2011-11-17]

Ticket[key= BOOKKEEPER-92, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.0.0, affectedVersions= [4.0.0], numOfCommits= 1, creationDate= 2011-10-25, resolutionDate= 2011-10-25]

Ticket[key= BOOKKEEPER-93, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.0.0, affectedVersions= [4.0.0], numOfCommits= 1, creationDate= 2011-10-25, resolutionDate= 2011-10-27]

Ticket[key= BOOKKEEPER-94, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.0.0, affectedVersions= [4.0.0], numOfCommits= 1, creationDate= 2011-10-26, resolutionDate= 2011-10-26]

Ticket[key= BOOKKEEPER-107, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.0.0, affectedVersions= [4.0.0], numOfCommits= 1, creationDate= 2011-11-04, resolutionDate= 2011-11-08]

Ticket[key= BOOKKEEPER-118, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.0.0, affectedVersions= [4.0.0], numOfCommits= 1, creationDate= 2011-11-23, resolutionDate= 2011-11-28]

Ticket[key= BOOKKEEPER-129, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.0.0, affectedVersions= [4.0.0], numOfCommits= 1, creationDate= 2011-11-30, resolutionDate= 2011-11-30]

Ticket[key= BOOKKEEPER-133, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.1.0, affectedVersions= [4.0.0], numOfCommits= 1, creationDate= 2011-12-01, resolutionDate= 2011-12-22]

Ticket[key= BOOKKEEPER-140, injectedVersion= 4.0.0, openingVersion= 4.0.0, fixedVersion= 4.1.0, affectedVersions= [4.0.0], numOfCommits= 1, creationDate= 2011-12-06, resolutionDate= 2011-12-21]

Ticket[key= BOOKKEEPER-197, injectedVersion= 4.1.0, openingVersion= 4.1.0, fixedVersion= 4.1.0, affectedVersions= [4.1.0], numOfCommits= 1, creationDate= 2012-03-30, resolutionDate= 2012-04-16]

Ticket[key= BOOKKEEPER-209, injectedVersion= 4.1.0, openingVersion= 4.1.0, fixedVersion= 4.1.0, affectedVersions= [4.1.0], numOfCommits= 1, creationDate= 2012-04-05, resolutionDate= 2012-05-15]

