ID, Size, Predicted, Actual
0,45,1.2850167052171679E-4,NO
1,28,7.139797229758674E-5,NO
2,28,5.8418039490594695E-5,NO
3,449,1.0708931248661383E-4,NO
4,1470,0.9993581514762517,YES
5,25,4.9431537320810677E-5,NO
6,39,1.0708931248661383E-4,NO
7,47,7.139797229758674E-5,NO
8,30,0.9993581514762517,NO
9,215,0.9993581514762517,NO
10,50,7.139797229758674E-5,NO
11,82,6.418485237483953E-4,NO
12,41,3.211303789338472E-4,NO
13,245,2.1413276231263382E-4,NO
14,227,2.1413276231263382E-4,NO
15,363,2.1413276231263382E-4,NO
16,407,0.9993581514762517,YES
17,145,0.3333571326574325,NO
18,49,1.6061676839061997E-4,NO
19,85,7.139797229758674E-5,NO
20,64,6.425909266161162E-5,NO
21,36,0.15791787864438883,NO
22,37,2.1413276231263382E-4,NO
23,83,6.418485237483953E-4,NO
24,32,1.2850167052171679E-4,NO
25,26,0.2666866592408534,NO
26,835,0.9993581514762517,YES
27,365,0.9997858672376874,YES
28,206,2.1413276231263382E-4,NO
29,24,4.590103736344441E-5,NO
30,24,1.2850167052171679E-4,NO
31,27,0.6666428673425675,NO
32,260,0.9993581514762517,NO
33,30,0.40002570033410434,NO
34,428,2.1413276231263382E-4,NO
35,972,2.1413276231263382E-4,NO
36,123,2.1413276231263382E-4,NO
37,562,2.1413276231263382E-4,NO
38,205,2.1413276231263382E-4,NO
39,37,5.35503909178537E-5,NO
40,35,0.07146791517488296,NO
41,276,2.1413276231263382E-4,NO
42,316,2.1413276231263382E-4,NO
43,204,2.1413276231263382E-4,NO
44,133,2.1413276231263382E-4,NO
45,285,2.1413276231263382E-4,NO
46,336,2.1413276231263382E-4,NO
47,464,2.1413276231263382E-4,NO
48,294,2.1413276231263382E-4,NO
49,76,2.1413276231263382E-4,NO
50,69,5.8418039490594695E-5,NO
51,266,2.1413276231263382E-4,NO
52,247,2.1413276231263382E-4,NO
53,217,2.1413276231263382E-4,NO
54,99,0.6666428673425675,NO
55,191,0.40002570033410434,NO
56,476,2.1413276231263382E-4,NO
57,95,0.40002570033410434,NO
58,550,0.9996788696210662,YES
59,136,0.6666428673425675,NO
60,33,8.032128514056225E-5,NO
61,483,0.9993581514762517,YES
62,140,2.1413276231263382E-4,NO
63,111,0.9997858672376874,YES
64,34,7.139797229758674E-5,NO
65,39,7.139797229758674E-5,NO
66,36,0.18185535693422128,NO
67,257,0.9993581514762517,YES
