ID, Size, Predicted, Actual
0,45,5.724098454493417E-4,NO
1,28,5.730002292000916E-5,NO
2,28,4.775093114315729E-5,NO
3,449,8.185315543914218E-5,NO
4,1470,0.9997136311569302,YES
5,25,4.092992796332678E-5,NO
6,39,8.185315543914218E-5,NO
7,47,5.724098454493417E-4,NO
8,30,0.5000000000000001,NO
9,215,5.724098454493417E-4,NO
10,50,5.730002292000916E-5,NO
11,82,2.86368843069874E-4,NO
12,41,1.9094901661256445E-4,NO
13,245,1.4322543683758235E-4,NO
14,227,1.4322543683758235E-4,NO
15,363,1.4322543683758235E-4,NO
16,407,0.9997136311569302,YES
17,145,0.300022920009168,NO
18,49,1.1458691417440128E-4,NO
19,85,5.730002292000916E-5,NO
20,64,5.2091472625931135E-5,NO
21,36,0.15002005615724026,NO
22,37,1.4322543683758235E-4,NO
23,83,2.86368843069874E-4,NO
24,32,9.549274255156608E-5,NO
25,26,0.2500179070267173,NO
26,834,0.9994275901545507,YES
27,365,0.9994275901545507,YES
28,206,1.4322543683758235E-4,NO
29,24,3.8201474576918666E-5,NO
30,24,9.549274255156608E-5,NO
31,27,0.599988539995416,NO
32,260,5.724098454493417E-4,NO
33,30,0.33336516424751717,NO
34,428,1.4322543683758235E-4,NO
35,972,1.4322543683758235E-4,NO
36,123,1.4322543683758235E-4,NO
37,562,1.4322543683758235E-4,NO
38,205,1.4322543683758235E-4,NO
39,37,4.4078106404548855E-5,NO
40,35,0.0666997746113,NO
41,276,1.4322543683758235E-4,NO
42,316,1.4322543683758235E-4,NO
43,204,1.4322543683758235E-4,NO
44,133,1.1458691417440128E-4,NO
45,285,1.4322543683758235E-4,NO
46,336,1.4322543683758235E-4,NO
47,464,1.4322543683758235E-4,NO
48,294,1.4322543683758235E-4,NO
49,76,1.4322543683758235E-4,NO
50,69,4.775093114315729E-5,NO
51,266,1.4322543683758235E-4,NO
52,247,1.4322543683758235E-4,NO
53,217,1.4322543683758235E-4,NO
54,99,0.599988539995416,NO
55,191,0.33336516424751717,NO
56,476,1.4322543683758235E-4,NO
57,95,0.33336516424751717,NO
58,550,0.9998090509833875,YES
59,136,0.599988539995416,NO
60,33,6.366588145412873E-5,NO
61,464,0.9994275901545507,YES
62,140,1.4322543683758235E-4,NO
63,111,0.9998567745631625,YES
64,34,5.730002292000916E-5,NO
65,39,5.730002292000916E-5,NO
66,36,0.1666985006207621,NO
67,257,0.9994275901545507,YES
68,61,5.724098454493417E-4,NO
69,57,0.5,YES
70,124,5.724098454493417E-4,NO
71,59,9.549274255156608E-5,NO
72,32,5.724098454493417E-4,NO
73,25,0.599988539995416,NO
74,53,0.599988539995416,NO
75,53,5.724098454493417E-4,NO
76,88,1.4322543683758235E-4,NO
77,107,1.4322543683758235E-4,NO
78,133,1.1458691417440128E-4,NO
79,169,9.549274255156608E-5,NO
80,80,1.4322543683758235E-4,NO
81,29,1.4322543683758235E-4,NO
82,588,5.724098454493417E-4,NO
83,162,2.86368843069874E-4,NO
84,39,2.86368843069874E-4,NO
85,79,5.730002292000916E-5,NO
86,85,5.730002292000916E-5,NO
87,110,0.9998567745631625,YES
88,111,1.1458691417440128E-4,NO
89,53,1.4322543683758235E-4,NO
90,52,5.730002292000916E-5,NO
91,154,2.86368843069874E-4,NO
92,403,0.9997136311569302,YES
93,183,9.549274255156608E-5,NO
94,215,0.9998567745631625,YES
95,76,9.549274255156608E-5,NO
96,564,0.9997136311569302,YES
97,257,0.9997136311569302,YES
98,55,5.2091472625931135E-5,NO
99,102,1.1458691417440128E-4,NO
100,403,0.9998090509833875,YES
101,35,9.549274255156608E-5,NO
102,145,0.9998567745631625,YES
103,119,1.4322543683758235E-4,NO
104,108,0.9997136311569302,YES
105,91,0.9997136311569302,YES
106,69,0.9999181468445609,YES
107,80,0.8332696715049657,YES
108,63,0.9998567745631625,YES
109,160,0.9997136311569302,YES
110,98,0.9998567745631625,YES
111,54,5.730002292000916E-5,NO
112,267,9.549274255156608E-5,NO
113,55,9.549274255156608E-5,NO
114,46,9.549274255156608E-5,NO
115,226,9.549274255156608E-5,NO
116,54,9.549274255156608E-5,NO
117,270,1.4322543683758235E-4,NO
118,74,5.730002292000916E-5,NO
119,359,9.549274255156608E-5,NO
120,78,5.730002292000916E-5,NO
121,180,1.4322543683758235E-4,NO
122,57,9.549274255156608E-5,NO
123,50,9.549274255156608E-5,NO
124,243,9.549274255156608E-5,NO
125,254,1.4322543683758235E-4,NO
126,306,9.549274255156608E-5,NO
127,139,9.549274255156608E-5,NO
128,375,1.4322543683758235E-4,NO
129,75,1.4322543683758235E-4,NO
130,222,9.549274255156608E-5,NO
131,61,2.86368843069874E-4,NO
132,98,2.86368843069874E-4,NO
133,28,2.491466726461868E-5,NO
134,55,0.14291560939674225,NO
135,194,0.9998090509833875,YES
136,28,2.491466726461868E-5,NO
137,50,0.9997136311569302,YES
138,55,0.3333969830055376,NO
139,124,0.9997136311569302,YES
140,87,0.9998567745631625,YES
141,65,2.86368843069874E-4,NO
142,144,0.9998567745631625,YES
143,134,2.86368843069874E-4,NO
144,117,9.549274255156608E-5,NO
145,28,2.491466726461868E-5,NO
146,57,1.4322543683758235E-4,NO
147,60,9.549274255156608E-5,NO
148,62,9.549274255156608E-5,NO
149,89,1.9094901661256445E-4,NO
150,60,9.549274255156608E-5,NO
151,68,1.9094901661256445E-4,NO
152,522,0.9998567745631625,YES
153,43,1.1458691417440128E-4,NO
154,247,1.1458691417440128E-4,NO
155,35,1.1458691417440128E-4,NO
156,42,9.549274255156608E-5,NO
157,57,9.549274255156608E-5,NO
158,117,0.9997136311569302,YES
159,61,9.549274255156608E-5,NO
160,92,1.4322543683758235E-4,NO
161,93,9.549274255156608E-5,NO
162,80,9.549274255156608E-5,NO
163,101,9.549274255156608E-5,NO
164,59,9.549274255156608E-5,NO
165,84,9.549274255156608E-5,NO
166,82,9.549274255156608E-5,NO
167,172,2.86368843069874E-4,NO
168,143,1.4322543683758235E-4,NO
169,78,1.4322543683758235E-4,NO
170,66,7.162297665090961E-5,NO
171,66,7.162297665090961E-5,NO
172,310,0.9994275901545507,NO
173,86,2.86368843069874E-4,NO
174,66,5.724098454493417E-4,NO
175,85,0.7499283872815812,YES
176,54,5.730002292000916E-5,NO
177,77,1.4322543683758235E-4,NO
178,137,1.4322543683758235E-4,NO
179,130,2.86368843069874E-4,NO
180,79,9.549274255156608E-5,NO
181,76,5.730002292000916E-5,NO
182,81,1.4322543683758235E-4,NO
183,98,0.9998567745631625,YES
184,115,1.4322543683758235E-4,NO
185,180,1.4322543683758235E-4,NO
186,118,1.4322543683758235E-4,NO
187,132,5.724098454493417E-4,NO
188,95,0.9998567745631625,YES
189,88,9.549274255156608E-5,NO
190,51,5.730002292000916E-5,NO
191,120,1.4322543683758235E-4,NO
