ID, Size, Predicted, Actual
0,45,0.07694498381877023,YES
1,79,8.209304425636016E-6,YES
2,67,0.16670406102759702,NO
3,45,0.07694498381877023,YES
4,28,4.315180806075775E-6,NO
5,28,4.315180806075775E-6,NO
6,564,0.5,YES
7,1492,0.9996636394214596,NO
8,174,1.1217049915872127E-4,NO
9,25,8.414533582403528E-6,NO
10,39,0.024398052752990236,NO
11,47,0.08335670611993044,NO
12,184,6.730833950326446E-5,NO
13,30,0.05001514590555686,NO
14,221,1.1217049915872127E-4,NO
15,50,8.209304425636016E-6,NO
16,101,1.7714478042904466E-5,NO
17,41,0.07694498381877023,NO
18,250,5.609154139555755E-5,NO
19,227,0.09093412477434752,NO
20,363,3.3656435110393114E-5,NO
21,408,0.16670406102759702,NO
22,145,0.1200102319695195,NO
23,49,3.059694642474682E-5,NO
24,85,0.01961418398526956,NO
25,64,1.6828783952071623E-5,NO
26,42,1.463378941977025E-5,NO
27,36,0.04167309445340439,NO
28,37,1.160617912976869E-5,NO
29,83,3.3656435110393114E-5,NO
30,32,1.6828783952071623E-5,NO
31,26,1.6027438975526103E-5,NO
32,883,0.9996636394214596,YES
33,421,1.682368775235532E-4,NO
34,213,5.609154139555755E-5,YES
35,24,9.096780649328203E-6,NO
36,24,9.096780649328203E-6,NO
37,27,1.2945318972659487E-5,NO
38,259,1.682368775235532E-4,NO
39,30,0.05001514590555686,NO
40,428,0.09093412477434752,NO
41,981,0.10002692514808832,NO
42,126,4.2069835927639886E-5,NO
43,562,3.3656435110393114E-5,NO
44,226,2.804734391653111E-5,NO
45,37,1.160617912976869E-5,NO
46,35,7.01213098660683E-6,NO
47,283,6.730833950326446E-5,NO
48,316,3.3656435110393114E-5,NO
49,204,3.3656435110393114E-5,NO
50,133,0.052647428743512074,NO
51,298,0.5,NO
52,336,3.3656435110393114E-5,NO
53,701,0.3333707234997196,NO
54,301,8.413259296651523E-5,NO
55,76,7.47959939265653E-6,NO
56,69,0.06667639007314993,NO
57,266,2.804734391653111E-5,NO
58,253,4.807923457858551E-5,NO
