ID, Size, Predicted, Actual
0,50,0.999484270242393,NO
1,79,1.2903225806451613E-4,NO
2,67,6.45244547683572E-5,NO
3,45,2.579979360165119E-4,NO
4,28,2.579979360165119E-4,NO
5,28,6.45244547683572E-5,NO
6,459,7.374087456677236E-5,NO
7,1479,0.9998279717873733,YES
8,25,2.579979360165119E-4,NO
9,39,1.0323113451016826E-4,NO
10,47,3.9709327721081686E-5,NO
11,184,1.0323113451016826E-4,NO
12,30,5.157297576070139E-4,NO
13,215,2.579979360165119E-4,NO
14,50,1.7202821262687082E-4,NO
15,82,1.7202821262687082E-4,NO
16,41,1.2903225806451613E-4,NO
17,245,1.7202821262687082E-4,NO
18,227,1.0323113451016826E-4,NO
19,363,1.0323113451016826E-4,NO
20,407,0.9998279717873733,YES
21,145,0.2857458889462429,NO
22,49,5.157297576070139E-4,NO
23,85,4.692852785208128E-5,NO
24,64,4.692852785208128E-5,NO
25,42,1.0323113451016826E-4,NO
26,36,4.692852785208128E-5,NO
27,37,1.7202821262687082E-4,NO
28,83,1.7202821262687082E-4,NO
29,32,7.374087456677236E-5,NO
30,26,1.7202821262687082E-4,NO
31,866,0.999484270242393,YES
32,376,0.9997420020639836,YES
33,207,1.7202821262687082E-4,NO
34,24,1.0323113451016826E-4,NO
35,24,1.0323113451016826E-4,NO
36,27,1.0323113451016826E-4,NO
37,260,5.157297576070139E-4,NO
38,30,1.0323113451016826E-4,NO
39,428,1.0323113451016826E-4,NO
40,979,8.602890571231934E-5,NO
41,123,1.7202821262687082E-4,NO
42,562,1.0323113451016826E-4,NO
43,205,1.0323113451016826E-4,NO
44,37,1.7202821262687082E-4,NO
45,35,1.7202821262687082E-4,NO
46,283,1.0323113451016826E-4,NO
47,316,1.7202821262687082E-4,NO
48,204,1.0323113451016826E-4,NO
49,133,1.0323113451016826E-4,NO
50,285,1.0323113451016826E-4,NO
51,336,1.0323113451016826E-4,NO
52,701,0.999484270242393,YES
53,301,1.0323113451016826E-4,YES
54,76,1.0323113451016826E-4,NO
55,69,3.9709327721081686E-5,NO
56,266,1.0323113451016826E-4,NO
57,253,1.0323113451016826E-4,NO
58,217,1.0323113451016826E-4,NO
59,100,0.5833261636410565,YES
60,191,0.2857458889462429,NO
61,476,1.0323113451016826E-4,NO
62,95,0.2857458889462429,NO
63,551,0.9998709677419354,YES
64,136,0.5454502792247408,NO
65,33,5.162089613875697E-5,NO
66,474,0.999484270242393,YES
67,140,1.0323113451016826E-4,NO
68,111,0.9998967688654898,YES
69,34,4.692852785208128E-5,NO
70,39,4.692852785208128E-5,NO
71,36,0.15387364491919153,NO
72,271,0.999484270242393,YES
73,75,2.579979360165119E-4,NO
74,57,0.9998967688654898,YES
75,124,0.9998967688654898,NO
76,59,2.579979360165119E-4,NO
77,32,8.602890571231934E-5,NO
78,25,2.579979360165119E-4,NO
79,53,2.579979360165119E-4,NO
80,53,0.999484270242393,NO
81,88,1.7202821262687082E-4,NO
82,107,1.7202821262687082E-4,NO
83,133,2.579979360165119E-4,NO
84,169,7.374087456677236E-5,NO
85,94,1.7202821262687082E-4,NO
86,35,1.0323113451016826E-4,NO
87,685,2.579979360165119E-4,NO
88,162,1.7202821262687082E-4,NO
89,39,1.7202821262687082E-4,NO
90,79,4.692852785208128E-5,NO
91,85,4.692852785208128E-5,NO
92,110,0.9998967688654898,YES
93,111,5.157297576070139E-4,NO
94,53,1.0323113451016826E-4,NO
95,52,1.0323113451016826E-4,NO
96,159,1.7202821262687082E-4,YES
97,524,0.9999262591254332,YES
98,183,7.374087456677236E-5,NO
99,215,0.9998279717873733,YES
100,76,1.7202821262687082E-4,NO
101,563,0.999484270242393,YES
102,257,0.9998279717873733,YES
103,55,4.301815366084488E-5,NO
104,102,1.0323113451016826E-4,NO
105,403,0.9998709677419354,YES
106,35,1.0323113451016826E-4,NO
107,145,0.9998967688654898,YES
108,119,1.0323113451016826E-4,NO
109,108,0.9998279717873733,YES
