ID, Size, Predicted, Actual
0,40,2.7925160569673273E-4,NO
1,28,8.368200836820084E-4,NO
2,28,2.7925160569673273E-4,NO
3,449,4.1876046901172525E-4,YES
4,1358,0.9991631799163181,NO
5,25,4.1876046901172525E-4,NO
6,39,8.368200836820084E-4,NO
7,50,4.1876046901172525E-4,NO
8,82,8.368200836820084E-4,NO
9,41,8.368200836820084E-4,NO
10,245,8.368200836820084E-4,NO
11,227,8.368200836820084E-4,NO
12,363,4.1876046901172525E-4,NO
13,375,0.9991631799163181,YES
14,145,8.368200836820084E-4,NO
15,49,8.368200836820084E-4,NO
16,85,1.675884028825205E-4,NO
17,64,1.675884028825205E-4,NO
18,36,1.675884028825205E-4,NO
19,37,2.0946795140343527E-4,NO
20,92,8.368200836820084E-4,NO
21,32,8.368200836820084E-4,NO
22,26,8.368200836820084E-4,NO
23,669,0.9991631799163181,YES
24,398,0.9991631799163181,YES
25,206,2.7925160569673273E-4,YES
26,24,8.368200836820084E-4,NO
27,24,4.1876046901172525E-4,NO
28,27,8.368200836820084E-4,NO
29,30,8.368200836820084E-4,NO
30,428,8.368200836820084E-4,NO
31,972,1.675884028825205E-4,NO
32,123,4.1876046901172525E-4,NO
33,562,2.0946795140343527E-4,NO
34,205,0.20010055304172952,NO
35,37,4.1876046901172525E-4,NO
36,35,8.368200836820084E-4,NO
37,276,4.1876046901172525E-4,NO
38,316,2.7925160569673273E-4,NO
39,204,0.20010055304172952,NO
40,133,8.368200836820084E-4,NO
41,285,4.1876046901172525E-4,NO
42,336,8.368200836820084E-4,NO
43,464,1.675884028825205E-4,NO
44,294,2.0946795140343527E-4,NO
45,76,1.3966480446927373E-4,NO
46,69,1.3966480446927373E-4,NO
47,266,0.5,NO
48,247,8.368200836820084E-4,NO
49,217,2.0946795140343527E-4,NO
50,99,1.675884028825205E-4,NO
51,191,4.1876046901172525E-4,NO
52,476,0.9991631799163181,NO
53,95,4.1876046901172525E-4,NO
54,550,0.9991631799163181,YES
55,136,1.675884028825205E-4,NO
56,33,2.0946795140343527E-4,NO
57,479,0.9991631799163181,YES
58,140,0.5,NO
59,111,0.9991631799163181,YES
60,34,1.675884028825205E-4,NO
61,39,1.675884028825205E-4,NO
62,36,1.3966480446927373E-4,NO
63,202,8.368200836820084E-4,YES
64,106,8.368200836820084E-4,NO
65,57,8.368200836820084E-4,NO
66,43,1.675884028825205E-4,NO
67,27,1.675884028825205E-4,NO
68,25,1.675884028825205E-4,NO
69,53,1.675884028825205E-4,NO
70,88,1.3966480446927373E-4,YES
71,107,8.368200836820084E-4,NO
72,132,4.1876046901172525E-4,NO
73,169,8.368200836820084E-4,NO
74,80,1.675884028825205E-4,NO
