ID, Size, Predicted, Actual
0,28,0.14828524768078222,NO
1,28,0.14979978409539593,NO
2,449,0.7253114013255593,NO
3,1087,0.999999362908428,YES
4,25,0.14974222025055026,NO
5,50,0.15121484248172776,NO
6,76,0.168672207712098,NO
7,38,0.15026932381685557,NO
8,168,0.3041547099939227,NO
9,268,0.5375629446611081,YES
10,371,0.8221772455802716,YES
11,145,0.18623954738501466,NO
12,85,0.1601121034999482,NO
13,64,0.16030415440716256,NO
14,36,0.14997537139347655,NO
15,36,0.14997537139347655,NO
16,39,0.1532726551608206,NO
17,26,0.14979978409539593,NO
18,504,0.8629528251556132,YES
19,357,0.8789530458085741,YES
20,196,0.3923869323475078,YES
21,24,0.14974222025055026,NO
22,27,0.14979978409539593,YES
23,69,0.23119575150978766,YES
24,56,0.21122442803101124,YES
25,26,0.14979978409539593,YES
26,187,0.21593263630751625,NO
27,983,0.9999886546105737,NO
28,252,0.267324825602454,YES
29,620,0.9653722942694918,YES
30,37,0.15752681466014581,NO
31,35,0.15752681466014581,NO
32,286,0.3319414949582441,NO
33,232,0.280584846737694,NO
34,203,0.2204777724491951,NO
35,270,0.3051273384940072,NO
36,425,0.9064531977685664,YES
37,244,0.669740790241881,YES
38,74,0.19966033766993785,NO
39,69,0.16123968287195017,NO
40,247,0.7954043480258107,YES
41,231,0.5136402482999916,YES
42,202,0.4352511008290465,YES
43,99,0.22165271017306168,YES
44,191,0.206266859463445,YES
45,447,0.960399642341572,YES
46,95,0.18289221919360973,YES
47,549,0.9076415565300135,YES
48,136,0.21063205591504872,YES
49,40,0.1487508707413326,NO
50,86,0.1601121034999482,NO
51,90,0.1615477809831765,NO
52,79,0.18848201917993457,NO
53,85,0.16483614143728764,NO
54,59,0.21122442803101124,NO
55,105,0.16483234404337269,NO
56,52,0.15423364121471403,NO
57,157,0.18715089948775326,YES
58,74,0.15456698054731655,NO
59,243,0.9156765970751555,YES
60,227,0.8512568085600846,YES
61,55,0.18399816454720302,NO
62,29,0.14828524768078222,NO
63,111,0.19748525622922658,NO
64,113,0.17361384257855678,NO
65,71,0.15354269224683956,NO
66,54,0.1650738944644935,NO
67,205,0.26262827816686696,NO
68,121,0.2502086340442839,NO
69,107,0.29176056397375455,NO
70,74,0.15764027130663935,NO
71,55,0.15033649532693663,NO
72,104,0.16003398611495834,NO
73,61,0.1511055159251186,NO
74,148,0.17876680289155397,NO
75,66,0.15199707888952296,NO
76,87,0.1554255823946814,NO
77,85,0.1554255823946814,NO
78,72,0.1530129202287499,NO
79,54,0.14968851815001785,NO
80,60,0.15033649532693663,NO
81,76,0.17688845881168724,NO
82,33,0.14845936971049695,NO
83,430,0.9118428408340504,YES
84,146,0.2675137161192504,NO
85,125,0.301314385507527,NO
86,75,0.2536430224482834,NO
87,47,0.20968945160298785,NO
88,34,0.14845936971049695,NO
89,39,0.1487508707413326,NO
90,36,0.14845936971049695,NO
91,79,0.20106795655195447,NO
92,28,0.15279541852962963,NO
93,426,0.6501737165486255,YES
94,212,0.3514078890284628,YES
95,88,0.20263255654967474,YES
96,57,0.196357137540451,NO
97,43,0.18261523575573974,YES
98,27,0.1573440228490082,NO
99,25,0.14974222025055026,YES
100,53,0.17315137442289244,YES
101,108,0.3914918456602922,YES
102,102,0.3883006326983843,YES
103,85,0.2571606375416634,NO
104,54,0.17315137442289244,NO
105,78,0.25530981668862984,NO
106,98,0.3482046785889292,NO
107,78,0.16350353836749748,NO
108,77,0.18714187180978265,NO
109,97,0.3482046785889292,NO
110,176,0.25188097413353827,NO
111,123,0.4897268589921725,NO
112,51,0.14968851815001785,NO
113,71,0.17574699942144695,NO
114,94,0.17279707670675717,YES
