ID, Size, Predicted, Actual
0,25,0.24321694462646476,NO
1,25,0.24321694462646476,NO
2,354,0.4241200791810434,YES
3,774,0.9737910215471917,YES
4,25,0.24321694462646476,NO
5,38,0.24237711876272922,YES
6,235,0.304688111790078,YES
7,199,0.2802815848508092,YES
8,34,0.2426955557376924,NO
9,36,0.24237711876272922,YES
10,36,0.24237711876272922,NO
11,26,0.24321694462646476,NO
12,441,0.5578289227246301,YES
13,465,0.6132798790755113,YES
14,191,0.2762060116220531,YES
15,24,0.24321694462646476,NO
16,24,0.24321694462646476,NO
17,52,0.2423472780960021,NO
18,54,0.2423472780960021,NO
19,192,0.2802815848508092,NO
20,300,0.35916045112980677,YES
21,250,0.3164434783011805,NO
22,618,0.8567318608633523,YES
23,37,0.24237711876272922,NO
24,35,0.2426955557376924,NO
25,279,0.3436357352227553,YES
26,274,0.33636318228540635,NO
27,398,0.49279573019051864,NO
28,238,0.304688111790078,YES
29,74,0.243127219483986,NO
30,69,0.243127219483986,NO
31,203,0.2846178681945093,NO
32,229,0.2992496925369143,NO
33,202,0.2846178681945093,NO
34,101,0.2471431270654606,YES
35,165,0.2654883341263511,YES
36,337,0.4038555126121892,NO
37,94,0.24582856600373132,NO
38,381,0.4686464090150119,YES
39,138,0.2569278918479727,NO
40,40,0.24237711876272922,NO
41,86,0.244722242942591,NO
42,90,0.24582856600373132,NO
43,78,0.2438223002212089,NO
44,84,0.244722242942591,NO
45,59,0.24263582360468777,NO
46,111,0.24866812057529944,NO
47,149,0.25954947748556695,NO
48,74,0.243127219483986,NO
49,230,0.2992496925369143,NO
50,208,0.2892206638096465,NO
51,55,0.2423472780960021,NO
52,29,0.2426955557376924,NO
53,110,0.24866812057529944,NO
54,96,0.24582856600373132,NO
55,42,0.24237711876272922,NO
56,36,0.24237711876272922,YES
57,356,0.4347593808640874,YES
58,100,0.2471431270654606,YES
59,73,0.243127219483986,YES
60,111,0.24866812057529944,NO
61,99,0.2471431270654606,NO
62,79,0.2438223002212089,NO
63,28,0.2426955557376924,NO
64,309,0.37601894794064783,YES
65,94,0.24582856600373132,NO
66,45,0.24226109206573576,YES
67,39,0.24237711876272922,YES
68,40,0.24237711876272922,NO
69,28,0.2426955557376924,NO
70,27,0.24321694462646476,NO
71,71,0.243127219483986,NO
72,80,0.2438223002212089,YES
73,40,0.24237711876272922,YES
74,87,0.244722242942591,NO
75,53,0.2423472780960021,YES
76,47,0.24226109206573576,YES
77,85,0.244722242942591,YES
78,174,0.26881469546504694,NO
79,143,0.2569278918479727,NO
80,115,0.2504060745555729,NO
81,220,0.2940959193000185,NO
82,142,0.2569278918479727,YES
83,235,0.304688111790078,YES
84,39,0.24237711876272922,NO
85,91,0.24582856600373132,NO
86,42,0.24237711876272922,NO
87,196,0.2802815848508092,NO
88,42,0.24237711876272922,NO
89,40,0.24237711876272922,NO
90,39,0.24237711876272922,YES
91,45,0.24226109206573576,NO
92,175,0.26881469546504694,YES
93,46,0.24226109206573576,NO
94,149,0.25954947748556695,YES
95,292,0.35123329947948645,YES
96,78,0.2438223002212089,NO
97,475,0.6273967267151797,NO
98,163,0.2654883341263511,YES
99,211,0.2892206638096465,NO
100,120,0.2504060745555729,NO
101,849,0.9909297848802908,NO
