ID, Size, Predicted, Actual
0,45,0.08289474857198903,NO
1,79,0.09926207409479193,NO
2,67,0.0893549046535959,NO
3,45,0.0711086649754779,NO
4,28,0.0728033111273625,NO
5,28,0.07228318141367222,NO
6,564,0.9369003865482823,NO
7,1491,1.0,YES
8,25,0.07228318141367222,NO
9,39,0.07177758375298048,NO
10,47,0.07367654644352675,NO
11,184,0.12694832737611503,NO
12,30,0.0717736688493766,NO
13,221,0.5575164219737249,YES
14,50,0.07032371150479656,NO
15,101,0.08332726396394553,NO
16,41,0.07093287039815947,NO
17,250,0.5296025100068402,YES
18,227,0.2626282123673983,NO
19,363,0.3096614515303896,NO
20,407,0.44479926703582856,YES
21,145,0.0811076294551183,NO
22,49,0.07116172624916141,NO
23,85,0.07096146718576292,NO
24,64,0.0728790962576737,NO
25,42,0.07177758375298048,NO
26,36,0.07132389785425412,NO
27,37,0.07132389785425412,NO
28,83,0.07300703327554692,NO
29,32,0.07262761223885907,NO
30,26,0.07228318141367222,NO
31,882,0.9999856959928656,YES
32,413,0.9922582453292488,YES
33,213,0.3404445429363845,NO
34,24,0.07285356857788212,NO
35,24,0.07371933990708854,NO
36,27,0.07542742047802076,NO
37,259,0.1699715729334624,YES
38,30,0.0717736688493766,NO
39,428,0.569665207720289,NO
40,979,0.9999996133675076,NO
41,123,0.1043696079106994,NO
42,562,0.9225163280914697,NO
43,205,0.09815004516656321,NO
44,37,0.07442975691315404,NO
45,35,0.07442975691315404,NO
46,283,0.17071591507119732,NO
47,316,0.3437576179867781,NO
48,204,0.09815004516656321,NO
49,133,0.08224888665380906,NO
50,285,0.17071591507119732,NO
51,336,0.24667157913636875,NO
52,701,0.996734589983103,YES
53,301,0.7691988390200952,YES
54,76,0.08943190845598623,NO
55,69,0.07282470215004692,NO
56,266,0.9419395848113061,NO
57,253,0.538096852291057,NO
58,217,0.4758856128837172,NO
59,100,0.10081764506937052,YES
60,191,0.11700002302659536,NO
61,476,0.9931261817761415,NO
62,95,0.07114273894481657,NO
63,551,0.9127295193350872,YES
64,136,0.0969700604023846,NO
65,33,0.07229041794176946,NO
66,491,0.7658923232337308,YES
67,143,0.16501066813063636,YES
68,113,0.07286346843685505,YES
69,34,0.07183765934251783,NO
70,39,0.07144403191921908,NO
71,36,0.07183765934251783,NO
72,277,0.15470660179069173,YES
73,75,0.128561886861561,NO
74,57,0.11221478681429173,YES
75,124,0.1043696079106994,NO
76,59,0.0993977761274844,NO
77,32,0.08425460761755323,NO
78,25,0.07542742047802076,NO
79,53,0.08976034750256105,NO
80,53,0.08976034750256105,NO
81,88,0.07096146718576292,NO
82,107,0.07268131533397706,NO
83,133,0.08224888665380906,NO
84,169,0.08475511463609114,NO
85,94,0.11327527800287934,NO
86,35,0.07821509641253002,NO
87,689,0.9989521449356875,NO
88,162,0.08337357926790355,NO
89,39,0.07093287039815947,NO
90,79,0.08943190845598623,NO
91,85,0.07318342423311357,NO
92,110,0.1319782708690253,YES
93,122,0.07675472494109328,NO
94,53,0.08976034750256105,NO
95,52,0.07093983304033868,NO
96,177,0.29960665942554626,YES
97,527,0.8703494366881296,YES
98,183,0.08944067346282356,NO
99,215,0.12296002573604237,YES
100,76,0.06984219949112921,NO
101,563,0.9669446249433854,YES
102,257,0.9901277465226369,YES
103,55,0.08976034750256105,NO
104,102,0.09134677226144026,NO
105,403,0.5246921921858602,YES
106,35,0.07183765934251783,NO
107,145,0.12410889552276445,YES
108,119,0.07995224704543204,NO
109,108,0.07495277987337981,YES
110,91,0.17765844202558206,YES
111,69,0.14955388501005687,YES
112,80,0.14989726483073876,YES
113,63,0.11204976822431213,YES
114,160,0.4785801626595355,YES
115,102,0.2570676067622532,YES
116,54,0.07688734719293182,NO
117,267,0.18045047422856428,NO
118,55,0.07688734719293182,NO
119,46,0.07144077154006664,NO
120,226,0.19686827464133305,NO
121,54,0.08976034750256105,NO
122,270,0.6450144502862444,NO
123,74,0.07061588369744441,NO
124,359,0.4517366558514837,NO
125,78,0.0728886008445848,NO
126,180,0.08840789053857172,NO
127,57,0.06994080438983341,NO
128,50,0.07116172624916141,NO
129,243,0.12381840001830048,NO
130,254,0.538096852291057,NO
131,306,0.24145323664648205,NO
132,139,0.0841409599163558,NO
133,372,0.3414712167369826,NO
134,75,0.07067491248716024,NO
135,222,0.15100738981581255,NO
136,61,0.11221478681429173,NO
137,98,0.1518866198865143,NO
138,28,0.07314270916481133,NO
139,55,0.15018742837854446,NO
140,195,0.597434692256311,YES
141,28,0.07314270916481133,NO
142,50,0.21162115306348336,YES
143,55,0.08976034750256105,NO
144,130,0.0880249017807887,YES
145,87,0.305400922081346,YES
146,65,0.12854612912264562,NO
147,140,0.4636708942073709,YES
148,134,0.12125551073595857,NO
149,117,0.2615136693984718,NO
150,28,0.07314270916481133,NO
151,57,0.07077460357674323,NO
152,60,0.08213122200665417,NO
153,62,0.09924949859896184,NO
154,89,0.17765844202558206,NO
