ID, Size, Predicted, Actual
0,28,1.3614033344221256E-5,NO
1,28,4.345401632296974E-4,NO
2,387,0.998832913969178,NO
3,1087,1.0,YES
4,25,0.0026101662630452493,NO
5,50,0.002138111480254157,NO
6,76,9.128214902300674E-4,NO
7,38,0.0011694389073776243,NO
8,168,0.040421598127351833,NO
9,267,0.99994498357804,YES
10,374,0.9989617996414649,NO
11,145,0.07022728319674666,NO
12,85,0.006140601370021631,NO
13,64,0.016357650254907333,NO
14,36,0.0027225263409928462,NO
15,36,0.0027540164790627263,NO
16,36,0.0019002619141039918,NO
17,26,0.0021823511272864634,NO
18,491,1.0,YES
19,354,0.9999987280616273,YES
20,196,0.44815537523380644,YES
21,24,0.00259821564814236,NO
22,27,0.659519376611095,YES
23,55,0.0028498773323570644,YES
24,54,0.0016533950600006154,YES
25,26,0.7365631426219208,YES
26,187,0.04211820061136716,NO
27,983,1.0,NO
28,252,0.9972756600223649,YES
29,620,1.0,YES
30,37,0.0017140492482506007,NO
31,35,0.0017054452492679805,NO
32,286,0.0016124816626287097,NO
33,232,0.48366254970037215,NO
34,203,0.4197435527099099,NO
35,270,0.031026510208194184,NO
36,425,1.0,YES
37,244,1.0,YES
38,74,0.005666465503507899,NO
39,69,0.004799034547394354,NO
40,228,0.9999999997815908,YES
41,231,0.9998936038286076,YES
42,202,1.0,YES
43,99,0.9650579011169885,YES
44,191,0.9999448279016045,YES
45,447,1.0,YES
46,95,0.9931614090669023,YES
47,549,1.0,YES
48,136,0.9811934679150083,YES
49,40,9.11725624295989E-4,NO
50,86,0.00541563030217486,NO
51,90,0.006524091180036589,NO
52,79,0.006792931718647345,NO
53,85,0.006740554690283523,NO
54,59,0.0035938221712834006,NO
55,112,0.009948116868988164,NO
56,52,0.0034623240359833033,NO
57,157,0.06458436134849749,YES
58,74,0.004548614367645553,NO
59,230,0.02161051211733946,YES
60,211,0.01115103879599345,YES
61,55,0.004394181965040572,NO
62,29,0.001546741879244372,NO
63,111,0.006704809900414663,NO
64,98,0.003598848840737766,NO
65,43,2.6077896542573537E-4,NO
66,54,0.0037640731386933265,NO
67,205,0.4625072190342064,NO
68,121,0.016949550672037343,NO
69,107,0.01086105033217751,NO
70,74,0.004906461667418058,NO
71,76,0.0017301653545939112,NO
72,412,0.9987726099729243,YES
73,146,0.0057989564715898705,NO
74,125,0.014128890713939114,NO
75,75,0.004224089456566568,NO
76,47,0.0023049746533875715,NO
77,34,0.0027461346173222254,NO
78,39,0.0028525276660633647,NO
79,36,0.0028047022001147126,NO
80,79,0.006184008942875802,NO
81,28,0.003094579265235111,NO
82,422,0.9999999494411986,YES
83,211,0.9982716720375328,YES
84,88,0.8824198123470034,YES
85,57,0.00357926056211627,NO
86,43,0.8496688007308288,YES
87,27,0.0032270292253177243,NO
88,25,0.8377754915754811,YES
89,53,0.8574423427696426,YES
90,105,0.0013622844894885177,YES
91,107,0.001344386426104075,YES
92,85,0.006744300020878674,NO
93,54,0.0040536691845634385,NO
94,78,0.0055544473570114695,NO
95,98,0.0019196048261847845,NO
96,78,0.006370701683160871,NO
97,77,0.005986194073855202,NO
98,97,0.0015892522702502072,NO
99,176,0.060232346311194424,NO
100,123,0.008188420795752105,NO
101,51,0.0017055496160644195,NO
102,71,0.005987890521647384,NO
103,92,9.584333089513202E-7,YES
