ID, Size, Predicted, Actual
0,45,0.02723802927216045,NO
1,79,0.0403787541991128,NO
2,67,0.03252965344029606,NO
3,45,0.019131994791132194,NO
4,28,0.01325160833175308,NO
5,28,0.020650766499350586,NO
6,564,0.8884361493981346,NO
7,1491,1.0,YES
8,173,0.022303396426256745,NO
9,25,0.01797326672793479,NO
10,39,0.01702108976258359,NO
11,47,0.020827915221698322,NO
12,184,0.05054855825375663,NO
13,30,0.019953404480811433,NO
14,221,0.74396588443194,YES
15,50,0.018802140711723,NO
16,101,0.03627371037422982,NO
17,41,0.01822372139115502,NO
18,250,0.7953607505858513,YES
19,227,0.6096391318257397,NO
20,363,0.09987238358018696,NO
21,407,0.1426701324699213,YES
22,145,0.02268492099866135,NO
23,49,0.022001895438113976,NO
24,85,0.016794377224839695,NO
25,64,0.020103801406345097,NO
26,42,0.01702108976258359,NO
27,36,0.017323633247873064,NO
28,37,0.021487151493772692,NO
29,83,0.018128562867951416,NO
30,32,0.022841438994574945,NO
31,26,0.022742732143587005,NO
32,883,0.999941720931618,YES
33,413,0.9988892268237184,YES
34,213,0.19427373239923318,NO
35,24,0.019270766143999273,NO
36,24,0.021549678769449625,NO
37,27,0.023540739541437,NO
38,259,0.2775812351106109,YES
39,30,0.023034136791041125,NO
40,428,0.22740963145378443,NO
41,979,0.9999982411355736,NO
42,123,0.16678652347094275,NO
43,562,0.7335752152649327,NO
44,205,0.025987122209681027,NO
45,37,0.024100021354629866,NO
46,35,0.026199391877168004,NO
47,283,0.6219663217241954,NO
48,316,0.6374522241239547,NO
49,204,0.025987122209681027,NO
50,133,0.02719169732529371,NO
51,285,0.6464623284329558,NO
52,336,0.06627036557879219,NO
53,701,0.9866168778354084,YES
54,301,0.9993651043484281,YES
55,76,0.032547963670680705,NO
56,69,0.018049117665026423,NO
57,266,0.9970471143735725,NO
58,253,0.9945640281139186,NO
59,217,0.9902618613661414,NO
60,100,0.043009999677007624,YES
61,191,0.0995177023090412,NO
62,476,0.9991785696025071,NO
63,95,0.018088973686155353,NO
64,551,0.7207185264059794,YES
65,136,0.0335357265676813,NO
66,33,0.01843128248332574,NO
67,491,0.4489649324396008,YES
68,143,0.0947523936040098,YES
69,113,0.01618849222838749,YES
70,34,0.01830970407794451,NO
71,39,0.018203694309388656,NO
72,36,0.01830970407794451,NO
73,277,0.04240187567816543,YES
74,75,0.0640734778443047,NO
75,57,0.03983251796464728,YES
76,124,0.052679216906987646,NO
77,59,0.03935552439216498,NO
78,32,0.020572243296469523,NO
79,25,0.02155355677923245,NO
80,53,0.03294794093894608,NO
81,53,0.03344622760792037,NO
82,88,0.018514696855354982,NO
83,107,0.022911516269547672,NO
84,133,0.040936469737496685,YES
85,169,0.019917224371139977,NO
86,94,0.06576975198257376,NO
87,35,0.023037671583735216,NO
88,689,0.9999933973811258,NO
89,162,0.04578035727231505,NO
90,39,0.021363145242125486,NO
91,79,0.028446331519218437,NO
92,85,0.01860805245437268,NO
93,110,0.17283916481090425,YES
94,122,0.027370525650687157,NO
95,53,0.031867143351064525,NO
96,52,0.01725377607528544,NO
97,177,0.41708969991483785,YES
98,533,0.6755326694082171,YES
99,183,0.024136849578022857,NO
100,215,0.17549592028744215,YES
101,76,0.023717598389885818,NO
102,563,0.9540564417289416,YES
103,257,0.9998239949380799,YES
104,55,0.032597089832113096,NO
105,102,0.03118398333929354,NO
106,403,0.5009836824012169,YES
107,35,0.02332290466789486,NO
108,145,0.07223030603102369,YES
109,119,0.03166340577191467,NO
110,108,0.0400751541950471,YES
111,91,0.2014248165037436,YES
112,69,0.1218385205660257,YES
113,80,0.10743478006896212,YES
114,63,0.055682018647060134,YES
115,160,0.7976965309047098,YES
116,102,0.3403878797555108,YES
117,54,0.021384030119761203,NO
118,267,0.08115381378799169,NO
119,55,0.020869547936320003,NO
120,46,0.01937976257359368,NO
121,226,0.12278711026425435,NO
122,54,0.028535442199332652,NO
123,270,0.8203335224024644,NO
124,74,0.017173396665678832,NO
125,359,0.3724651888533081,NO
126,78,0.018059429266252522,NO
127,180,0.022762707894505955,NO
128,57,0.020280045975991097,NO
129,50,0.019298973388053718,NO
130,243,0.03240671822832874,NO
131,254,0.6536287998604667,NO
132,306,0.18398308381881273,NO
133,139,0.12280722596457742,NO
134,372,0.10448932612559725,NO
135,75,0.019080402593561134,NO
136,222,0.15107121845065696,NO
137,61,0.06036892219529373,NO
138,98,0.12352567940322844,NO
139,28,0.02389535474899512,NO
140,55,0.11391431502091616,NO
141,195,0.9755246398041401,YES
142,28,0.019800055087433616,NO
143,50,0.17334454371130298,YES
144,55,0.03496865156524224,NO
145,130,0.02458915619506413,YES
146,87,0.3612087906921762,YES
147,65,0.0813659029737299,NO
148,140,0.6459698885190349,YES
149,134,0.055908576515029285,NO
150,117,0.29803733446094455,NO
151,28,0.019800055087433616,NO
152,57,0.02564919948879502,NO
153,60,0.02993014625795233,NO
154,62,0.03925208345599379,NO
155,89,0.1437899348561473,NO
156,60,0.11365163117533282,NO
157,68,0.019673555372389996,NO
158,522,1.0,YES
159,43,0.16225687768731964,NO
160,247,0.9979597279987187,NO
161,35,0.03704640605720125,NO
162,42,0.024100578285231836,NO
163,57,0.08182730894644548,NO
164,125,0.755344712300351,YES
165,61,0.0403337027055636,NO
166,92,0.019899966189380832,NO
167,92,0.17761294448388582,NO
168,80,0.29517242029723345,NO
169,101,0.07215351102646307,NO
170,59,0.03178687123456048,NO
