ID, Size, Predicted, Actual
0,40,0.1848161581023037,NO
1,28,0.0,NO
2,28,0.0,NO
3,449,0.06,NO
4,1352,1.0,YES
5,25,0.2956794494706022,NO
6,39,0.2793772657118834,NO
7,50,0.0,NO
8,76,0.0,NO
9,40,0.1848161581023037,NO
10,245,1.0,NO
11,227,0.98,NO
12,363,0.0,NO
13,375,0.33881746031746035,NO
14,145,0.460855894105894,NO
15,49,0.0,NO
16,85,0.10707243744215021,NO
17,64,0.0,NO
18,36,0.18933751112026628,NO
19,37,0.0,NO
20,32,0.0,NO
21,26,0.3201264963107067,NO
22,660,0.35,YES
23,398,0.15,NO
24,206,0.97,NO
25,24,0.0,NO
26,24,0.0,NO
27,27,0.41204315830443183,NO
28,30,0.97,NO
29,428,1.0,NO
30,972,0.0,NO
31,123,0.0,NO
32,562,1.0,NO
33,205,0.01,NO
34,37,0.0,NO
35,35,0.05756762151901133,NO
36,276,0.024166666666666663,NO
37,316,0.96,NO
38,204,0.0,NO
39,133,0.31771428571428567,NO
40,285,0.0,NO
41,336,0.08,NO
42,464,1.0,NO
43,294,0.13,NO
44,76,0.0,NO
45,69,0.2936743927297332,NO
46,266,0.05811904761904763,NO
47,247,0.7464242424242424,NO
48,217,0.5651666666666667,NO
49,99,0.83085180840831,NO
50,191,1.0,NO
51,476,0.03,NO
52,95,1.0,NO
53,549,1.0,NO
54,136,1.0,NO
55,33,0.0,NO
56,478,0.0,YES
57,140,0.6717380952380952,NO
58,111,0.0,YES
59,34,0.0,NO
60,39,0.2793772657118834,NO
61,36,0.18933751112026628,NO
62,202,0.7108448218448218,YES
63,106,0.2278293650793651,NO
64,57,0.0,YES
65,43,0.6062056200593353,NO
66,27,0.41204315830443183,NO
67,25,0.2956794494706022,NO
68,53,1.0,NO
69,88,0.6684213564213565,NO
70,107,0.2278293650793651,NO
71,132,0.31771428571428567,NO
72,169,0.035166666666666666,NO
73,80,0.40941269841269845,NO
74,29,0.01,NO
75,430,1.0,NO
76,79,0.0,NO
77,85,0.10707243744215021,NO
78,110,0.0,YES
79,111,0.0,NO
80,53,1.0,NO
81,52,0.0,NO
82,155,0.68,NO
83,270,0.0,NO
84,183,0.03,NO
85,215,0.8475,YES
86,76,0.0,NO
87,285,0.0,YES
88,258,0.6,YES
89,55,0.12249121140048588,NO
90,102,0.8064834054834055,NO
91,390,0.02,NO
92,35,0.05756762151901133,NO
93,145,0.460855894105894,NO
94,119,0.0,NO
95,71,0.11646733495262905,NO
96,75,0.0,NO
97,69,0.2936743927297332,YES
98,80,0.40941269841269845,NO
99,63,0.0,YES
100,120,0.0,NO
101,98,0.0,YES
102,54,0.043765651680994715,NO
103,267,0.3674523809523809,NO
104,55,0.12249121140048588,NO
105,46,0.013000000000000001,NO
106,226,0.08,NO
107,54,0.043765651680994715,NO
108,270,0.0,NO
109,74,0.0,NO
110,359,0.0,NO
111,78,0.12203020616905128,NO
112,180,0.96,NO
113,57,0.0,NO
114,50,0.0,NO
115,243,0.38464285714285723,NO
116,254,0.13,NO
117,306,0.1,NO
118,139,0.0,NO
119,375,0.33881746031746035,NO
120,75,0.0,NO
121,222,0.0,NO
122,28,0.0,NO
123,55,0.12249121140048588,NO
124,187,0.02,YES
125,28,0.0,NO
126,50,0.0,YES
127,41,0.30273809523809525,NO
128,113,0.0,YES
129,87,0.006666666666666666,YES
130,51,0.0,NO
131,144,0.8223373015873017,YES
132,117,0.3241666666666666,NO
133,28,0.0,NO
134,57,0.0,NO
135,60,0.3124089521589521,NO
136,62,0.0,NO
137,83,0.0013636363636363635,NO
138,60,0.3124089521589521,NO
139,63,0.0,NO
140,522,1.0,YES
141,43,0.6062056200593353,NO
142,247,0.7464242424242424,NO
143,35,0.05756762151901133,NO
144,42,0.0,NO
145,57,0.0,NO
146,91,0.01,YES
147,61,0.0,NO
148,92,0.62,NO
149,93,0.018666666666666668,NO
150,80,0.40941269841269845,NO
151,101,0.15074381174381177,NO
152,59,0.0,NO
153,84,0.004555486957863867,NO
154,82,0.0,NO
155,132,0.31771428571428567,NO
156,143,0.47075,NO
157,78,0.12203020616905128,NO
158,66,0.3,NO
159,66,0.3,NO
160,85,0.10707243744215021,NO
161,54,0.043765651680994715,NO
162,77,0.2656551226551227,NO
163,137,0.05,NO
164,99,0.83085180840831,NO
165,79,0.0,NO
166,76,0.0,NO
167,81,0.011666666666666665,NO
168,98,0.0,YES
169,115,0.0215,NO
170,180,0.96,NO
171,118,0.6898333333333333,NO
172,64,0.0,NO
173,95,1.0,YES
174,88,0.6684213564213565,NO
175,51,0.0,NO
176,120,0.0,NO
