ID, Size, Predicted, Actual
0,45,0.3506309523809524,NO
1,28,0.0,NO
2,28,0.0,NO
3,449,0.0,YES
4,1470,0.07050000000000001,NO
5,25,0.0,NO
6,39,0.045716409272116655,NO
7,47,0.1846388888888889,NO
8,30,0.15420815295815296,NO
9,215,0.0,NO
10,50,0.0,NO
11,82,0.0,NO
12,41,0.1714975857475858,NO
13,245,0.006190476190476191,NO
14,227,0.2548095238095238,NO
15,363,0.0,NO
16,407,0.11,NO
17,145,0.2902026560041265,NO
18,49,0.0,NO
19,85,0.03244678106755738,NO
20,64,0.0,NO
21,36,0.06912978554005184,NO
22,37,0.0,NO
23,83,0.0,NO
24,32,0.0,NO
25,26,0.0,NO
26,835,0.05,YES
27,365,0.03,NO
28,206,0.0,YES
29,24,0.0,NO
30,24,0.0,NO
31,27,0.0,NO
32,260,0.0,NO
33,30,0.15420815295815296,NO
34,428,0.25149206349206354,NO
35,972,0.0,NO
36,123,0.0,NO
37,562,0.0027272727272727275,NO
38,205,0.0,NO
39,37,0.0,NO
40,35,0.0,NO
41,276,0.0,NO
42,316,0.0,NO
43,204,0.0,NO
44,133,0.0,NO
45,285,0.20663997113997112,NO
46,336,0.01,NO
47,464,0.29577777777777775,NO
48,294,0.0,NO
49,76,0.0,NO
50,69,0.06039525075028173,NO
51,266,0.0,NO
52,247,0.10876718134806365,NO
53,217,0.01,NO
54,99,0.06686731872582931,NO
55,191,0.12198071373071377,NO
56,476,0.0,NO
57,95,0.0,NO
58,550,0.05568903318903318,NO
59,136,0.0,NO
60,33,0.0,NO
61,483,0.0,NO
62,140,0.0,NO
63,111,0.0,NO
64,34,0.0,NO
65,39,0.045716409272116655,NO
66,36,0.06912978554005184,NO
67,257,0.0014285714285714286,YES
68,61,0.0,NO
69,57,0.0,NO
70,124,0.0,NO
71,59,0.0,NO
72,32,0.0,NO
73,25,0.0,NO
74,53,0.07509509461799478,NO
75,53,0.07509509461799478,NO
76,88,0.0,YES
77,107,0.1386770868020868,NO
78,133,0.0,NO
79,169,0.0,NO
80,80,0.08449204592277354,NO
81,29,0.0,NO
82,588,0.0,NO
83,162,0.0425,NO
84,39,0.045716409272116655,NO
85,79,0.0,NO
86,85,0.03244678106755738,NO
87,110,0.0,NO
88,111,0.0,NO
89,53,0.07509509461799478,NO
90,52,0.0,NO
91,154,0.0,NO
92,403,0.03390909090909091,NO
93,183,0.0,NO
94,215,0.0,NO
95,76,0.0,NO
96,554,0.05568903318903318,YES
97,257,0.0014285714285714286,NO
98,55,0.043579746760341966,NO
99,102,0.12028715728715736,NO
100,403,0.03390909090909091,NO
101,35,0.0,NO
102,145,0.2902026560041265,NO
103,119,0.0,NO
104,108,0.315958485958486,NO
105,91,0.004523809523809524,NO
106,69,0.06039525075028173,NO
107,80,0.08449204592277354,NO
108,63,0.0,NO
109,160,0.0385,NO
110,98,0.0,NO
111,54,0.03384461685408061,NO
112,267,0.0,NO
113,55,0.043579746760341966,NO
114,46,0.0,NO
115,226,0.003333333333333333,NO
116,54,0.03384461685408061,NO
117,270,0.08596883100559571,NO
118,74,0.0,NO
119,359,0.0,NO
120,78,0.0,NO
121,180,0.0,NO
122,57,0.0,NO
123,50,0.0,NO
124,243,0.16667929292929295,NO
125,254,0.0014285714285714286,NO
126,306,0.01583333333333333,NO
127,139,0.0,NO
128,375,0.4027579365079366,NO
129,75,0.09438429707547352,NO
130,222,0.0,NO
131,61,0.0,NO
132,98,0.0,NO
133,28,0.0,NO
134,55,0.043579746760341966,NO
135,194,0.02,NO
136,28,0.0,NO
137,50,0.0,NO
138,55,0.043579746760341966,NO
139,124,0.0,NO
140,87,0.0,NO
141,65,0.0,NO
142,144,0.34828318903318906,NO
143,134,0.0,NO
144,117,0.0,NO
145,28,0.0,NO
146,57,0.0,NO
147,60,0.0,NO
148,62,0.0,NO
149,89,0.0,NO
150,60,0.0,NO
151,68,0.0035993589743589737,NO
152,522,0.11613636363636363,NO
153,43,0.0,NO
154,247,0.10876718134806365,NO
155,35,0.0,NO
156,42,0.0,NO
157,57,0.0,NO
158,117,0.0,NO
159,61,0.0,NO
160,92,0.15722222222222218,NO
161,93,0.0,NO
162,80,0.08449204592277354,NO
163,101,0.0,NO
164,59,0.0,NO
165,84,0.0,NO
166,82,0.0,NO
167,172,0.0,NO
168,143,0.005,NO
169,78,0.0,NO
170,66,0.0,NO
171,66,0.0,NO
172,85,0.03244678106755738,NO
173,54,0.03384461685408061,NO
174,77,0.12905938505938502,NO
175,137,0.0,NO
176,130,0.31897619047619047,NO
177,79,0.0,NO
178,76,0.0,NO
179,81,0.0,NO
180,98,0.0,NO
181,115,0.01,NO
182,180,0.0,NO
183,118,0.22147050172050164,NO
184,132,0.0,NO
185,95,0.0,NO
186,88,0.0,NO
187,51,0.0,NO
188,120,0.12758941058941065,NO
