ID, Size, Predicted, Actual
0,28,0.0,NO
1,28,0.0,NO
2,387,0.03,NO
3,1087,0.91,YES
4,25,0.22075629925629925,NO
5,50,0.0,NO
6,76,0.0,NO
7,38,0.3525,NO
8,168,0.15,NO
9,268,0.93,YES
10,374,0.09,NO
11,145,0.0,NO
12,85,0.19059507159507164,NO
13,64,0.07200000000000001,NO
14,36,0.35749876372860606,NO
15,36,0.35749876372860606,NO
16,36,0.35749876372860606,NO
17,26,0.32841558441558427,NO
18,491,0.88,YES
19,354,1.0,YES
20,196,0.6713928571428571,YES
21,24,0.0,NO
22,27,0.34799264624264625,YES
23,69,0.20819841269841263,YES
24,56,0.84,YES
25,26,0.32841558441558427,YES
26,187,0.16,NO
27,983,0.11,NO
28,252,0.97,YES
29,620,1.0,YES
30,37,0.0,NO
31,35,0.13060137085137088,NO
32,286,0.14,NO
33,232,0.12916666666666665,NO
34,203,0.004,NO
35,270,0.11,NO
36,425,1.0,YES
37,244,1.0,YES
38,74,0.0,NO
39,69,0.20819841269841263,NO
40,228,0.88,YES
41,231,0.6450793650793653,YES
42,202,0.49838095238095237,YES
43,99,0.98,YES
44,191,0.98,YES
45,447,1.0,YES
46,95,0.8746904761904761,YES
47,549,0.97,YES
48,136,0.86,YES
49,40,0.27072625250566434,NO
50,86,0.0,NO
51,90,0.01,NO
52,79,0.006666666666666665,NO
53,85,0.19059507159507164,NO
54,59,0.0,NO
55,112,0.0,NO
56,52,0.05,NO
57,157,0.99,YES
58,74,0.0,NO
59,230,0.6548333333333334,YES
60,206,0.9,YES
61,55,0.4416284271284272,NO
62,29,0.03,NO
63,111,0.0,NO
64,98,0.01,NO
65,43,0.44454365079365077,NO
66,54,0.11560458985458984,NO
67,205,0.13,NO
68,121,0.0,NO
69,107,0.3378333333333333,NO
70,74,0.0,NO
71,76,0.0,NO
72,33,0.0,NO
73,426,1.0,YES
74,146,0.0,NO
75,125,0.0,NO
76,75,0.0,NO
77,47,0.6283228715728716,NO
78,34,0.0014285714285714286,NO
79,39,0.4251370851370851,NO
80,36,0.35749876372860606,NO
81,79,0.006666666666666665,NO
82,28,0.0,NO
83,422,0.9,YES
84,212,0.8140000000000001,YES
85,88,0.87,YES
86,57,0.04,NO
87,43,0.44454365079365077,YES
88,27,0.34799264624264625,NO
89,25,0.22075629925629925,YES
90,53,1.0,YES
91,108,0.7294999999999999,YES
92,102,0.991,YES
93,85,0.19059507159507164,NO
94,54,0.11560458985458984,NO
95,78,0.0,NO
96,98,0.01,NO
97,78,0.0,NO
98,77,0.0,NO
99,97,0.0,NO
100,176,0.28092612942612943,NO
101,123,0.0,NO
102,51,0.0,NO
103,71,0.2628968253968253,NO
104,94,0.399111111111111,YES
