DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
AVRO,1,44.171779141104295,RandomForest,None,None,None,1.0,0.21428571428571427,0.623015873015873,0.2741116751269035,6.0,0.0,63.0,22.0
AVRO,1,44.171779141104295,NaiveBayes,None,None,None,0.375,0.10714285714285714,0.5051020408163265,0.034653465346534504,3.0,5.0,58.0,25.0
AVRO,1,44.171779141104295,IBk,None,None,None,0.5625,0.32142857142857145,0.6051587301587301,0.23873873873873874,9.0,7.0,56.0,19.0
AVRO,1,44.171779141104295,RandomForest,GreedyStepwise,None,None,0.625,0.17857142857142858,0.6224489795918368,0.1633663366336634,5.0,3.0,60.0,23.0
AVRO,1,44.171779141104295,NaiveBayes,GreedyStepwise,None,None,0.6666666666666666,0.07142857142857142,0.5547052154195011,0.07387862796833777,2.0,1.0,62.0,26.0
AVRO,1,44.171779141104295,IBk,GreedyStepwise,None,None,0.5454545454545454,0.21428571428571427,0.6026077097505669,0.16229116945107425,6.0,5.0,58.0,22.0
AVRO,1,44.171779141104295,RandomForest,BestFirst,None,None,0.625,0.17857142857142858,0.6224489795918368,0.1633663366336634,5.0,3.0,60.0,23.0
AVRO,1,44.171779141104295,NaiveBayes,BestFirst,None,None,0.6666666666666666,0.07142857142857142,0.5547052154195011,0.07387862796833777,2.0,1.0,62.0,26.0
AVRO,1,44.171779141104295,IBk,BestFirst,None,None,0.5454545454545454,0.21428571428571427,0.6026077097505669,0.16229116945107425,6.0,5.0,58.0,22.0
AVRO,1,44.171779141104295,RandomForest,None,None,SensitiveLearning,1.0,0.21428571428571427,0.63718820861678,0.2741116751269035,6.0,0.0,63.0,22.0
AVRO,1,44.171779141104295,NaiveBayes,None,None,SensitiveLearning,0.375,0.10714285714285714,0.5051020408163265,0.034653465346534504,3.0,5.0,58.0,25.0
