---------- RELEASES List/ ---------

Release[id= 12313858, releaseName= 1.0.0, releaseDate= 2009-07-14, numOfCommits= 83]

Release[id= 12314106, releaseName= 1.1.0, releaseDate= 2009-09-15, numOfCommits= 32]

Release[id= 12314242, releaseName= 1.2.0, releaseDate= 2009-10-14, numOfCommits= 27]

Release[id= 12314318, releaseName= 1.3.0, releaseDate= 2010-02-26, numOfCommits= 232]

Release[id= 12314788, releaseName= 1.3.1, releaseDate= 2010-03-16, numOfCommits= 21]

Release[id= 12314842, releaseName= 1.3.2, releaseDate= 2010-03-31, numOfCommits= 10]

Release[id= 12315080, releaseName= 1.3.3, releaseDate= 2010-06-07, numOfCommits= 56]

Release[id= 12314789, releaseName= 1.4.0, releaseDate= 2010-09-08, numOfCommits= 81]

Release[id= 12315281, releaseName= 1.4.1, releaseDate= 2010-10-13, numOfCommits= 17]

Release[id= 12315282, releaseName= 1.5.0, releaseDate= 2011-03-11, numOfCommits= 113]

Release[id= 12316197, releaseName= 1.5.1, releaseDate= 2011-05-03, numOfCommits= 30]

Release[id= 12316398, releaseName= 1.5.2, releaseDate= 2011-08-12, numOfCommits= 44]

Release[id= 12317647, releaseName= 1.5.3, releaseDate= 2011-08-30, numOfCommits= 12]

Release[id= 12317878, releaseName= 1.5.4, releaseDate= 2011-09-12, numOfCommits= 5]

Release[id= 12316198, releaseName= 1.6.0, releaseDate= 2011-11-01, numOfCommits= 86]

Release[id= 12318847, releaseName= 1.6.1, releaseDate= 2011-11-14, numOfCommits= 5]

Release[id= 12319074, releaseName= 1.6.2, releaseDate= 2012-02-14, numOfCommits= 54]

Release[id= 12319869, releaseName= 1.6.3, releaseDate= 2012-03-19, numOfCommits= 19]

Release[id= 12318848, releaseName= 1.7.0, releaseDate= 2012-06-11, numOfCommits= 55]

Release[id= 12321552, releaseName= 1.7.1, releaseDate= 2012-07-16, numOfCommits= 14]

Release[id= 12322476, releaseName= 1.7.2, releaseDate= 2012-09-24, numOfCommits= 44]

Release[id= 12323298, releaseName= 1.7.3, releaseDate= 2012-12-06, numOfCommits= 29]

Release[id= 12323742, releaseName= 1.7.4, releaseDate= 2013-02-26, numOfCommits= 36]

Release[id= 12324096, releaseName= 1.7.5, releaseDate= 2013-08-19, numOfCommits= 58]

Release[id= 12324942, releaseName= 1.7.6, releaseDate= 2014-01-23, numOfCommits= 64]

Release[id= 12326041, releaseName= 1.7.7, releaseDate= 2014-07-24, numOfCommits= 51]

Release[id= 12323299, releaseName= 1.8.0, releaseDate= 2016-01-29, numOfCommits= 133]

Release[id= 12333322, releaseName= 1.8.1, releaseDate= 2016-05-20, numOfCommits= 43]

Release[id= 12335866, releaseName= 1.8.2, releaseDate= 2017-05-14, numOfCommits= 101]

Release[id= 12333394, releaseName= 1.9.0, releaseDate= 2019-05-14, numOfCommits= 539]

Release[id= 12345552, releaseName= 1.9.1, releaseDate= 2019-09-02, numOfCommits= 112]

Release[id= 12346153, releaseName= 1.9.2, releaseDate= 2020-02-12, numOfCommits= 144]

Release[id= 12344960, releaseName= 1.10.0, releaseDate= 2020-06-29, numOfCommits= 194]

Release[id= 12348352, releaseName= 1.10.1, releaseDate= 2020-12-04, numOfCommits= 105]

Release[id= 12349540, releaseName= 1.10.2, releaseDate= 2021-03-15, numOfCommits= 81]

Release[id= 12348321, releaseName= 1.11.0, releaseDate= 2021-10-27, numOfCommits= 200]

Release[id= 12350649, releaseName= 1.11.1, releaseDate= 2022-07-31, numOfCommits= 390]

Release[id= 12352171, releaseName= 1.11.2, releaseDate= 2023-07-03, numOfCommits= 430]

Release[id= 12353408, releaseName= 1.11.3, releaseDate= 2023-09-22, numOfCommits= 177]

Release[id= fake_release_2024-01-28, releaseName= fake_release_2024-01-28, releaseDate= 2024-01-28, numOfCommits= 154]

Release[id= fake_release_2024-06-04, releaseName= fake_release_2024-06-04, releaseDate= 2024-06-04, numOfCommits= 152]

