ID, Size, Predicted, Actual
0,198,0.2500417292605575,NO
1,107,3.0351777096549003E-5,NO
2,69,0.055572043329870896,NO
3,70,1.5176349177441874E-5,NO
4,30,0.029421007149029774,NO
5,553,6.676904587033452E-5,NO
6,685,0.9996663329996662,NO
7,526,1.112718370980305E-4,NO
8,1473,3.3366700033366696E-4,NO
9,1077,1.668891855807744E-4,NO
10,1320,3.3366700033366696E-4,NO
11,410,1.668891855807744E-4,NO
12,1296,3.3366700033366696E-4,NO
13,1318,3.3366700033366696E-4,NO
14,260,1.112718370980305E-4,NO
15,113,0.9996663329996662,NO
16,90,0.0833449264071673,NO
17,313,0.3333704239456993,NO
18,209,3.3366700033366696E-4,NO
19,3340,5.564210994880926E-5,NO
20,68,0.1538639340473072,NO
21,300,3.3366700033366696E-4,NO
22,202,5.564210994880926E-5,NO
23,389,3.3366700033366696E-4,NO
24,70,1.5176349177441874E-5,NO
25,296,1.668891855807744E-4,NO
26,92,0.13793937161080858,NO
27,192,0.9998331108144193,NO
28,66,2.384813507583707E-5,NO
29,463,3.3366700033366696E-4,NO
30,169,0.1000267094017094,NO
31,384,3.3366700033366696E-4,NO
32,195,3.3366700033366696E-4,NO
33,1118,8.345852111500584E-5,NO
34,78,0.42857824199933225,NO
35,100,1.963980595871713E-5,NO
36,104,0.06668595721948939,NO
37,43,0.043491515089929884,NO
38,311,0.9996663329996662,NO
39,834,3.3366700033366696E-4,NO
40,57,2.782260308274442E-5,NO
41,259,1.112718370980305E-4,NO
42,399,0.5,NO
43,233,0.9996663329996662,NO
44,74,0.034488118264714006,NO
45,55,1.6693933424593503E-5,NO
46,229,1.112718370980305E-4,NO
47,373,1.668891855807744E-4,NO
48,21,2.782260308274442E-5,NO
49,926,3.3366700033366696E-4,NO
50,21,2.782260308274442E-5,NO
51,621,3.3366700033366696E-4,NO
52,37,1.112941281218003E-5,NO
53,35,0.05264730173792327,NO
54,32,0.11766207749867431,NO
55,83,0.05264730173792327,NO
56,458,0.9998331108144193,NO
57,54,1.3911688600762361E-5,NO
58,92,0.13793937161080858,NO
59,32,0.11766207749867431,NO
60,536,1.112718370980305E-4,NO
61,24,4.769399532598846E-5,NO
62,37,1.112941281218003E-5,NO
63,34,1.5899009491708666E-5,NO
64,34,1.5899009491708666E-5,NO
65,25,3.0351777096549003E-5,NO
66,21,2.782260308274442E-5,NO
67,76,0.05264730173792327,NO
68,31,1.3911688600762361E-5,NO
69,32,0.11766207749867431,NO
70,186,1.668891855807744E-4,NO
71,91,1.668891855807744E-4,NO
72,356,0.2500417292605575,NO
73,28,1.5899009491708666E-5,NO
74,40,3.338675213675214E-5,NO
75,21,2.782260308274442E-5,NO
76,54,1.3911688600762361E-5,NO
77,103,0.07144901268720785,NO
78,76,0.05264730173792327,NO
79,29,0.1000267094017094,NO
80,47,7.103937712674135E-6,NO
81,132,1.5176349177441874E-5,NO
82,21,2.782260308274442E-5,NO
83,41,2.2258330180069893E-5,NO
