ID, Size, Predicted, Actual
0,198,0.4000133538091741,NO
1,107,0.8461360659526929,NO
2,69,0.4210554061890453,NO
3,70,1.5176349177441874E-5,NO
4,30,0.029421007149029774,NO
5,553,0.9996663329996662,NO
6,685,0.9996663329996662,NO
7,526,0.999916541478885,NO
8,1473,0.9996663329996662,NO
9,1077,0.9996663329996662,NO
10,1320,0.9996663329996662,NO
11,410,0.9998331108144193,NO
12,1296,0.9996663329996662,NO
13,1318,0.9996663329996662,NO
14,260,0.9999332309541297,NO
15,113,0.9998331108144193,NO
16,90,0.9259153919398518,NO
17,313,0.9999443578900512,NO
18,209,3.3366700033366696E-4,NO
19,3340,0.999952306004674,NO
20,68,0.7692169401854277,NO
21,300,0.9996663329996662,NO
22,202,0.999952306004674,NO
23,389,0.9998331108144193,NO
24,70,1.5176349177441874E-5,NO
25,296,0.9998331108144193,NO
26,92,0.5937480436551825,NO
27,192,0.9998331108144193,NO
28,66,2.384813507583707E-5,NO
29,463,0.999888728162902,NO
30,169,0.9998331108144193,NO
31,384,0.9998331108144193,NO
32,195,0.999888728162902,NO
33,1118,0.9996663329996662,NO
34,78,0.7499791336282448,NO
35,100,0.5,NO
36,104,0.312507825215976,NO
37,43,0.0833449264071673,NO
38,311,0.9998331108144193,NO
39,834,0.9996663329996662,NO
40,57,0.3077021855818373,NO
41,259,0.9996663329996662,NO
42,399,0.9996663329996662,NO
43,233,0.9996663329996662,NO
44,74,0.1694952661750808,NO
45,55,1.6693933424593503E-5,NO
46,229,0.599986646190826,NO
47,373,0.9998331108144193,NO
48,21,2.782260308274442E-5,NO
49,926,0.9998331108144193,NO
50,21,2.782260308274442E-5,NO
51,621,0.9998331108144193,NO
52,37,1.112941281218003E-5,NO
53,35,0.45000166939334246,NO
54,32,0.5789445938109548,NO
55,83,0.6190438335691686,NO
56,458,0.9998331108144193,NO
57,54,1.3911688600762361E-5,NO
58,92,0.5937480436551825,NO
59,32,0.5789445938109548,NO
60,536,0.999888728162902,NO
61,24,4.769399532598846E-5,NO
62,37,1.112941281218003E-5,NO
63,34,0.6086924964071595,NO
64,34,0.6086924964071595,NO
65,25,3.0351777096549003E-5,NO
66,21,2.782260308274442E-5,NO
67,76,0.1500116857533972,NO
68,31,1.3911688600762361E-5,NO
69,32,0.5789445938109548,NO
70,186,1.668891855807744E-4,NO
71,91,0.3333704239456993,NO
72,356,0.5,NO
73,28,1.5899009491708666E-5,NO
74,40,0.7272589310104106,NO
75,21,2.782260308274442E-5,NO
76,54,1.3911688600762361E-5,NO
77,103,0.1333496561087987,NO
78,76,0.1500116857533972,NO
79,29,0.1000267094017094,NO
80,47,0.1489411580839259,NO
81,132,0.45833449264071674,NO
82,21,2.782260308274442E-5,NO
83,41,2.2258330180069893E-5,NO
84,43,0.0833449264071673,NO
85,34,0.6086924964071595,NO
86,21,2.782260308274442E-5,NO
87,98,0.0869685136527937,NO
88,61,0.1000267094017094,NO
89,124,0.5,NO
90,89,0.5599983973716895,NO
91,374,0.6666295760543006,NO
92,133,0.7499582707394425,NO
93,750,8.345852111500584E-5,NO
94,164,0.3333518807033163,NO
95,103,0.1333496561087987,NO
96,361,0.9998331108144193,NO
97,21,2.782260308274442E-5,NO
98,128,0.999916541478885,NO
99,175,0.9998331108144193,NO
100,37,1.112941281218003E-5,NO
101,60,3.709611603665096E-5,NO
102,21,2.782260308274442E-5,NO
103,41,2.2258330180069893E-5,NO
104,183,0.6666625446721159,NO
105,57,0.3077021855818373,NO
106,60,3.709611603665096E-5,NO
107,34,0.6086924964071595,NO
108,21,2.782260308274442E-5,NO
109,76,0.1500116857533972,NO
110,73,4.769399532598846E-5,NO
111,58,0.172421336219303,NO
112,54,1.3911688600762361E-5,NO
113,24,4.769399532598846E-5,NO
114,21,2.782260308274442E-5,NO
115,519,0.9996663329996662,NO
116,43,0.0833449264071673,NO
117,33,3.0351777096549003E-5,NO
118,36,0.9999814512538953,NO
119,38,0.4285736998584988,NO
120,28,1.5899009491708666E-5,NO
121,34,0.6086924964071595,NO
122,36,0.9999814512538953,NO
123,34,0.6086924964071595,NO
124,95,3.3366700033366696E-4,NO
125,126,0.9999332309541297,NO
126,38,0.4285736998584988,NO
127,1336,0.9996663329996662,NO
128,133,0.7499582707394425,NO
129,21,2.782260308274442E-5,NO
130,228,0.599986646190826,NO
131,72,0.02632411345025129,NO
132,42,0.25926521325138807,NO
133,162,0.20002003205128205,NO
134,87,0.22224283117557592,NO
135,33,3.0351777096549003E-5,NO
136,34,0.6086924964071595,NO
137,46,0.1000267094017094,NO
138,21,2.782260308274442E-5,NO
139,400,0.9996663329996662,NO
140,39,1.2365983652169613E-5,NO
141,225,0.999952306004674,NO
142,51,0.09525096586482662,NO
143,66,2.384813507583707E-5,NO
144,184,0.2000400614275222,NO
145,51,0.09525096586482662,NO
146,120,1.668891855807744E-4,NO
147,69,0.4210554061890453,NO
148,21,2.782260308274442E-5,NO
149,180,0.16668521506872183,NO
150,211,0.9996663329996662,NO
151,61,0.1000267094017094,NO
152,21,2.782260308274442E-5,NO
153,113,0.9998331108144193,NO
154,66,2.384813507583707E-5,NO
155,72,0.02632411345025129,NO
156,74,0.1694952661750808,NO
157,33,3.0351777096549003E-5,NO
