ID, Size, Predicted, Actual
0,212,3.9154267815191856E-4,NO
1,274,3.9154267815191856E-4,YES
2,461,0.9998041519780649,NO
3,138,0.20004701457451812,NO
4,358,4.8976393378391615E-5,NO
5,85,2.7987685418415897E-5,NO
6,1307,1.9584802193497845E-4,YES
7,51,0.05884386668510579,NO
8,45,0.0833469387755102,NO
9,157,0.3333768607991643,NO
10,31,1.9591708788840563E-5,NO
11,1711,0.9996084573218481,YES
12,55,2.6121937202862964E-5,NO
13,204,0.4285794246053957,NO
14,55,2.6121937202862964E-5,NO
15,103,0.08336054332919741,NO
16,34,2.3048909786567094E-5,NO
17,83,0.06668930567890916,NO
18,488,3.9154267815191856E-4,NO
19,83,0.06668930567890916,NO
20,129,3.918188229762558E-5,NO
21,883,0.9996084573218481,YES
22,440,3.9154267815191856E-4,NO
23,40,4.8976393378391615E-5,NO
24,391,3.9154267815191856E-4,NO
25,393,3.9154267815191856E-4,NO
26,51,0.05884386668510579,NO
27,638,3.9154267815191856E-4,YES
28,32,0.13335248942061542,NO
29,68,0.20002350912937855,YES
30,564,3.9154267815191856E-4,YES
31,588,3.9154267815191856E-4,NO
32,352,0.9996084573218481,YES
33,974,3.9154267815191856E-4,NO
34,275,0.5,NO
35,31,1.9591708788840563E-5,NO
36,50,1.2639987865611648E-5,NO
37,27,8.33708502159305E-6,NO
38,183,0.05001763253790996,NO
39,50,1.2639987865611648E-5,NO
40,62,1.399423437543732E-5,NO
41,87,0.1250367322950338,NO
42,52,0.1250367322950338,NO
43,419,3.9154267815191856E-4,YES
44,224,1.9584802193497845E-4,NO
45,118,1.9584802193497845E-4,YES
46,83,0.06668930567890916,NO
47,147,3.014045451805413E-5,NO
48,58,0.038475449859842664,NO
49,44,3.014045451805413E-5,NO
50,106,0.10001567336703106,YES
51,238,3.9154267815191856E-4,NO
52,43,0.05265003093421324,NO
53,195,1.9584802193497845E-4,YES
54,189,0.5,NO
55,151,3.918188229762558E-5,NO
56,373,3.9154267815191856E-4,YES
57,919,3.9154267815191856E-4,YES
58,911,3.9154267815191856E-4,YES
59,43,0.05265003093421324,NO
60,325,0.5,YES
61,27,8.33708502159305E-6,NO
62,55,2.6121937202862964E-5,NO
63,93,3.5620146755004634E-5,NO
64,191,3.5620146755004634E-5,NO
65,90,0.10001567336703106,NO
66,89,2.176847054725935E-5,NO
67,273,0.40001567152483936,NO
68,177,0.20004701457451812,NO
69,90,0.10001567336703106,NO
70,82,5.597223777006605E-5,NO
71,148,0.20001567316232172,NO
72,421,7.835762419683435E-5,NO
73,1231,1.9584802193497845E-4,YES
74,528,0.9998041519780649,NO
75,205,0.4285794246053957,NO
76,190,3.9154267815191856E-4,NO
77,86,3.265199503689675E-5,NO
78,212,3.9154267815191856E-4,YES
79,408,3.9154267815191856E-4,YES
80,572,3.9154267815191856E-4,NO
81,132,2.0622808826562177E-5,NO
82,168,0.1250367322950338,NO
83,107,5.597223777006605E-5,NO
84,85,2.7987685418415897E-5,NO
85,107,5.597223777006605E-5,NO
86,250,0.25004897159647405,NO
87,237,0.3333768607991643,NO
88,622,4.8976393378391615E-5,YES
89,47,1.0047221943132723E-5,NO
90,1366,3.9154267815191856E-4,YES
91,27,8.33708502159305E-6,NO
92,89,2.176847054725935E-5,NO
93,509,1.3058239749281798E-4,YES
94,227,1.9584802193497845E-4,NO
95,129,3.918188229762558E-5,YES
96,97,0.9998041519780649,YES
97,385,3.9154267815191856E-4,NO
98,98,0.9998041519780649,YES
99,41,3.265199503689675E-5,NO
100,244,6.52997257411519E-5,NO
101,215,7.835762419683435E-5,NO
102,260,1.9584802193497845E-4,NO
103,119,1.9584802193497845E-4,NO
104,701,0.9996084573218481,NO
105,120,3.9154267815191856E-4,YES
106,630,3.9154267815191856E-4,YES
107,69,0.07145256087321579,NO
108,77,0.07144056648660752,NO
109,97,9.794319294809012E-5,NO
110,380,6.52997257411519E-5,NO
111,214,3.265199503689675E-5,NO
112,38,0.11766468446042501,NO
113,79,0.08336054332919741,NO
114,25,4.3535045711798E-5,NO
115,84,0.041681632653061226,NO
116,34,2.3048909786567094E-5,NO
117,33,4.3535045711798E-5,NO
118,104,0.08336054332919741,NO
119,193,0.25004897159647405,NO
120,70,2.0622808826562177E-5,NO
121,140,0.25002448819668915,NO
122,22,3.918188229762558E-5,NO
123,156,4.8976393378391615E-5,NO
124,142,9.794319294809012E-5,NO
125,100,3.014045451805413E-5,YES
126,153,0.09093823466552682,NO
127,31,1.9591708788840563E-5,NO
128,340,0.6666231392008356,NO
129,61,0.14289712302697863,NO
130,61,0.14289712302697863,NO
131,877,0.5,NO
132,62,1.399423437543732E-5,NO
133,186,3.9154267815191856E-4,NO
134,264,1.9584802193497845E-4,NO
135,42,1.7810707797527874E-5,NO
136,248,7.835762419683435E-5,NO
137,358,4.8976393378391615E-5,YES
138,199,1.9584802193497845E-4,YES
139,330,3.9154267815191856E-4,YES
140,346,1.3058239749281798E-4,YES
141,89,2.176847054725935E-5,NO
142,193,0.25004897159647405,YES
143,397,0.9996084573218481,YES
144,82,5.597223777006605E-5,NO
145,53,3.014045451805413E-5,NO
146,148,0.20001567316232172,NO
147,4774,3.9154267815191856E-4,YES
148,4088,7.835762419683435E-5,NO
149,93,3.5620146755004634E-5,NO
150,76,0.07145256087321579,NO
151,72,0.03226988902090654,NO
152,977,3.9154267815191856E-4,YES
153,37,1.5070681496217258E-5,NO
154,59,5.597223777006605E-5,NO
155,133,0.5,NO
156,163,5.597223777006605E-5,NO
157,47,1.0047221943132723E-5,NO
158,101,0.09092366330637978,NO
159,99,0.11114497170222029,NO
160,151,3.918188229762558E-5,NO
161,556,3.9154267815191856E-4,YES
162,386,3.9154267815191856E-4,NO
163,296,3.9154267815191856E-4,YES
164,135,7.835762419683435E-5,NO
165,56,0.04547073700708866,NO
166,78,0.5,NO
167,35,0.06252142822158006,NO
168,465,3.9154267815191856E-4,YES
169,174,4.8976393378391615E-5,NO
170,148,0.20001567316232172,NO
171,88,0.4166721086658395,NO
172,52,0.1250367322950338,NO
173,39,1.7036355582813723E-5,NO
174,208,3.9154267815191856E-4,YES
175,77,0.07144056648660752,NO
176,666,1.3058239749281798E-4,NO
177,146,3.014045451805413E-5,NO
178,302,3.9154267815191856E-4,YES
179,54,1.8658805090122027E-5,NO
180,76,0.07145256087321579,NO
181,119,1.9584802193497845E-4,NO
182,200,6.52997257411519E-5,NO
183,152,4.8976393378391615E-5,NO
184,39,1.7036355582813723E-5,NO
185,677,1.9584802193497845E-4,NO
186,131,6.52997257411519E-5,NO
187,47,1.0047221943132723E-5,NO
188,100,3.014045451805413E-5,NO
189,43,0.05265003093421324,NO
