ID, Size, Predicted, Actual
0,215,0.9998607630186577,YES
1,272,0.6666047893075924,YES
2,459,0.9998143679227771,YES
3,137,0.5999777208421522,YES
4,357,0.9997216035634744,YES
5,1243,0.9994435169727323,YES
6,51,1.1139578923916676E-4,NO
7,154,0.9998143679227771,YES
8,31,5.0640603635995345E-5,NO
9,1332,0.9994435169727323,YES
10,180,9.283327144448571E-5,NO
11,260,0.9998143679227771,YES
12,584,0.9994435169727323,YES
13,40,0.9998886042107608,YES
14,372,0.9994435169727323,YES
15,388,0.9997216035634744,YES
16,51,1.3923698134224452E-4,NO
17,609,0.9994435169727323,YES
18,32,0.5454499417633059,NO
19,66,1.3923698134224452E-4,NO
20,180,0.9994435169727323,YES
21,587,0.9994435169727323,YES
22,164,0.9994435169727323,YES
23,50,0.7999331625264564,YES
24,27,5.0640603635995345E-5,NO
25,938,0.9994435169727323,YES
26,60,1.3923698134224452E-4,NO
27,62,0.9998886042107608,YES
28,87,1.3923698134224452E-4,NO
29,52,1.1139578923916676E-4,NO
30,270,0.9994435169727323,YES
31,163,0.9998607630186577,YES
32,109,1.8563207722294413E-4,NO
33,147,9.283327144448571E-5,NO
34,58,9.283327144448571E-5,NO
35,44,6.962818548948616E-5,NO
36,106,0.9998607630186577,YES
37,151,0.9997216035634744,YES
38,352,0.9997216035634744,YES
39,715,0.9994435169727323,YES
40,883,0.9994435169727323,YES
41,356,0.9994435169727323,YES
42,27,6.962818548948616E-5,NO
43,55,1.1139578923916676E-4,NO
44,191,0.9998607630186577,YES
45,90,0.9998607630186577,YES
46,271,2.783964365256125E-4,YES
47,137,0.9998143679227771,YES
48,79,1.8563207722294413E-4,NO
49,82,1.3923698134224452E-4,NO
50,147,0.9998143679227771,YES
51,422,1.3923698134224452E-4,YES
52,1081,0.9994435169727323,YES
53,529,0.9994435169727323,YES
54,189,0.9998143679227771,YES
55,167,0.9994435169727323,YES
56,84,0.42858279621230205,YES
57,197,0.9994435169727323,YES
58,374,0.9994435169727323,YES
59,126,0.9998143679227771,YES
60,167,0.9994435169727323,YES
61,109,0.9998607630186577,YES
62,85,9.283327144448571E-5,NO
63,236,0.9998143679227771,YES
64,394,0.9994435169727323,YES
65,837,0.9994435169727323,YES
66,27,3.978990927900685E-5,NO
67,89,0.9999303718145106,YES
68,483,5.564830272676684E-4,YES
69,166,0.9997216035634744,YES
70,92,1.3923698134224452E-4,NO
71,477,0.5,YES
72,93,1.3923698134224452E-4,NO
73,244,1.3923698134224452E-4,NO
74,204,0.9994435169727323,YES
75,250,0.9997216035634744,YES
76,119,0.9998143679227771,YES
77,729,0.9994435169727323,YES
78,630,0.9994435169727323,YES
79,69,0.7999331625264564,YES
80,77,1.3923698134224452E-4,NO
81,97,0.9998607630186577,YES
82,374,0.9994435169727323,NO
83,214,1.1139578923916676E-4,NO
84,38,0.25003481409274475,NO
85,79,1.3923698134224452E-4,NO
86,25,1.1139578923916676E-4,NO
87,84,0.42858279621230205,NO
88,34,0.6666511930182899,NO
89,33,1.8563207722294413E-4,NO
90,104,1.8563207722294413E-4,NO
91,193,5.564830272676684E-4,NO
92,70,7.957348611442669E-5,NO
93,140,1.8563207722294413E-4,NO
94,22,9.283327144448571E-5,NO
95,154,0.9997216035634744,YES
96,356,5.564830272676684E-4,NO
97,248,0.9998143679227771,YES
98,283,0.9994435169727323,YES
99,176,0.9997216035634744,YES
100,637,0.9994435169727323,YES
101,86,0.9994435169727323,YES
102,53,0.9998143679227771,YES
103,148,5.564830272676684E-4,YES
104,4088,0.9998607630186577,YES
105,583,0.9994435169727323,YES
106,823,0.9994435169727323,YES
107,101,0.9997216035634744,YES
108,565,0.9998607630186577,YES
109,360,0.9997216035634744,YES
110,280,0.9994435169727323,YES
111,136,0.9998607630186577,YES
112,56,1.3923698134224452E-4,NO
113,78,5.564830272676684E-4,YES
114,406,0.9997216035634744,YES
115,174,9.283327144448571E-5,NO
116,148,9.283327144448571E-5,NO
117,92,0.9998886042107608,YES
118,45,6.189267809618123E-5,NO
119,168,0.7499303815093289,YES
120,77,0.20006683747354348,NO
121,664,0.6666047893075924,YES
122,88,1.3923698134224452E-4,NO
123,261,0.9994435169727323,YES
124,54,7.957348611442669E-5,NO
125,76,0.5,YES
126,140,0.7499303815093289,YES
127,152,1.3923698134224452E-4,NO
128,39,9.283327144448571E-5,NO
129,131,1.3923698134224452E-4,NO
130,47,0.33334880698171016,NO
131,129,0.9998607630186577,YES
132,43,1.1139578923916676E-4,NO
133,257,0.9997216035634744,YES
134,62,0.9998143679227771,YES
135,45,1.1139578923916676E-4,NO
136,94,0.7999331625264564,YES
137,72,7.957348611442669E-5,NO
138,42,9.283327144448571E-5,NO
139,48,9.283327144448571E-5,NO
140,89,0.9999303718145106,YES
141,380,0.9998607630186577,YES
142,138,0.9997216035634744,YES
143,142,0.9997216035634744,YES
144,191,0.9998607630186577,YES
145,46,9.283327144448571E-5,NO
146,165,0.9998607630186577,YES
147,171,1.3923698134224452E-4,NO
148,56,1.1139578923916676E-4,NO
149,179,0.9998607630186577,YES
150,74,3.094825451844516E-5,NO
151,36,0.9998886042107608,YES
152,37,9.283327144448571E-5,NO
153,34,0.6666511930182899,YES
154,34,0.6666511930182899,YES
155,38,0.25003481409274475,NO
156,39,6.189267809618123E-5,NO
157,156,1.3923698134224452E-4,NO
158,84,0.33336427775714816,NO
159,117,0.9998607630186577,YES
160,94,1.3923698134224452E-4,NO
161,71,9.283327144448571E-5,NO
162,183,0.9998607630186577,YES
163,85,1.3923698134224452E-4,NO
164,183,0.5,YES
165,70,1.3923698134224452E-4,NO
166,54,6.962818548948616E-5,NO
167,160,1.3923698134224452E-4,NO
168,125,0.9998143679227771,YES
169,151,0.9998607630186577,YES
170,421,0.9997216035634744,YES
171,219,0.9997216035634744,YES
172,50,5.570409982174689E-5,NO
173,42,0.40001114081996436,YES
174,624,1.3923698134224452E-4,NO
175,377,0.9998607630186577,YES
176,382,0.9997216035634744,YES
177,72,1.3923698134224452E-4,NO
178,92,0.1667285555142963,NO
179,284,0.9997216035634744,YES
180,371,1.8563207722294413E-4,NO
181,47,1.3923698134224452E-4,NO
182,108,0.9998607630186577,YES
183,111,1.3923698134224452E-4,NO
184,319,0.9998607630186577,YES
185,129,0.9998607630186577,YES
186,49,6.962818548948616E-5,NO
187,358,0.9998607630186577,YES
188,277,0.9998143679227771,YES
189,49,6.962818548948616E-5,NO
190,89,1.3923698134224452E-4,NO
191,41,9.283327144448571E-5,NO
192,66,1.1139578923916676E-4,NO
193,63,0.1429139810615103,NO
194,24,1.3923698134224452E-4,NO
195,50,1.3923698134224452E-4,NO
196,72,1.3923698134224452E-4,NO
197,47,0.33334880698171016,NO
198,47,7.957348611442669E-5,NO
199,183,0.5,NO
200,49,9.283327144448571E-5,NO
201,50,5.570409982174689E-5,NO
202,98,0.08337201745427537,NO
203,143,0.9998886042107608,YES
204,43,9.283327144448571E-5,NO
205,42,0.40001114081996436,NO
206,56,0.8570860189384897,YES
207,44,6.962818548948616E-5,NO
208,26,1.3923698134224452E-4,NO
209,254,0.9998607630186577,YES
210,16883,0.9998607630186577,YES
211,74,1.3923698134224452E-4,NO
212,153,9.283327144448571E-5,NO
213,68,0.9998886042107608,YES
214,100,1.3923698134224452E-4,NO
215,549,0.9998143679227771,YES
216,437,0.9998607630186577,YES
217,1033,0.9997216035634744,YES
218,101,0.9997216035634744,YES
219,331,0.9997216035634744,YES
220,123,1.3923698134224452E-4,NO
221,106,0.7999331625264564,YES
222,106,0.9998143679227771,YES
223,93,0.9997216035634744,YES
224,101,0.6666357222428517,YES
225,38,0.9998607630186577,YES
226,584,0.9997216035634744,YES
227,32,0.5454499417633059,YES
228,111,1.1139578923916676E-4,NO
229,35,9.283327144448571E-5,NO
230,90,0.8332714444857036,YES
231,27,6.962818548948616E-5,NO
232,28,4.642094513044286E-5,NO
233,92,0.9998607630186577,YES
234,907,0.9994435169727323,YES
235,67,1.3923698134224452E-4,NO
236,29,9.283327144448571E-5,NO
237,105,1.8563207722294413E-4,NO
238,72,0.1667285555142963,NO
239,37,9.283327144448571E-5,NO
240,47,0.33334880698171016,YES
241,31,5.0640603635995345E-5,NO
242,90,0.9998607630186577,YES
243,223,0.9998607630186577,YES
244,214,1.8563207722294413E-4,NO
245,107,0.9998607630186577,YES
246,37,7.957348611442669E-5,NO
247,27,3.978990927900685E-5,NO
248,48,1.1139578923916676E-4,NO
249,166,0.9997216035634744,YES
250,213,0.9998607630186577,YES
251,866,0.9997216035634744,YES
252,159,1.3923698134224452E-4,NO
253,100,0.9998607630186577,YES
254,96,0.7999331625264564,YES
255,841,0.9997216035634744,YES
256,525,0.9998143679227771,YES
257,83,0.6666357222428517,YES
258,63,1.1139578923916676E-4,NO
259,76,1.3923698134224452E-4,NO
260,202,0.9998143679227771,YES
261,155,0.9998607630186577,YES
262,1262,0.9997216035634744,YES
263,74,3.094825451844516E-5,NO
264,101,1.3923698134224452E-4,NO
265,27,3.978990927900685E-5,NO
266,22,9.283327144448571E-5,NO
267,489,0.9997216035634744,YES
268,62,9.283327144448571E-5,NO
269,59,1.3923698134224452E-4,NO
270,99,1.3923698134224452E-4,NO
271,27,5.0640603635995345E-5,NO
272,77,7.957348611442669E-5,NO
273,862,0.9994435169727323,YES
274,64,0.8332714444857036,YES
275,45,6.189267809618123E-5,NO
276,63,9.283327144448571E-5,NO
277,54,6.962818548948616E-5,NO
278,64,9.283327144448571E-5,NO
279,132,0.5,NO
280,177,0.9998143679227771,YES
281,70,7.957348611442669E-5,NO
282,36,0.9999071667285555,YES
283,58,9.283327144448571E-5,NO
284,62,1.3923698134224452E-4,NO
285,132,0.5,YES
286,74,0.9998607630186577,YES
287,83,0.6666047893075924,YES
288,74,6.962818548948616E-5,NO
289,48,9.283327144448571E-5,NO
290,74,3.094825451844516E-5,NO
291,86,1.3923698134224452E-4,NO
292,355,0.9998607630186577,YES
293,53,7.957348611442669E-5,NO
294,798,0.9997216035634744,YES
295,75,1.3923698134224452E-4,NO
296,125,0.9998607630186577,YES
297,200,0.9998607630186577,YES
298,134,1.3923698134224452E-4,NO
299,57,9.283327144448571E-5,NO
300,123,0.9998607630186577,YES
301,204,0.9997216035634744,YES
302,162,1.3923698134224452E-4,NO
303,130,1.3923698134224452E-4,YES
304,108,1.3923698134224452E-4,YES
305,353,0.9997216035634744,YES
306,80,0.9998143679227771,YES
307,28,4.642094513044286E-5,NO
308,57,0.9998143679227771,YES
309,306,0.9997216035634744,YES
310,340,0.9997216035634744,YES
311,103,1.1139578923916676E-4,NO
312,35,0.9999071667285555,YES
313,98,0.08337201745427537,NO
314,117,0.7999331625264564,YES
