ID, Size, Predicted, Actual
0,212,0.9996084573218481,YES
1,274,0.9998041519780649,YES
2,461,0.9998041519780649,YES
3,138,0.9998694176025071,YES
4,358,0.9998694176025071,YES
5,85,3.9154267815191856E-4,NO
6,1307,0.9998041519780649,YES
7,51,1.3058239749281798E-4,NO
8,45,1.9584802193497845E-4,NO
9,157,0.9998694176025071,YES
10,31,2.7987685418415897E-5,NO
11,1711,0.9996084573218481,YES
12,55,1.9584802193497845E-4,NO
13,204,1.9584802193497845E-4,NO
14,55,1.9584802193497845E-4,NO
15,103,1.9584802193497845E-4,NO
16,34,3.9154267815191856E-4,NO
17,83,0.9998041519780649,YES
18,488,0.9996084573218481,YES
19,83,1.9584802193497845E-4,NO
20,129,3.9154267815191856E-4,NO
21,883,0.9998041519780649,YES
22,440,3.9154267815191856E-4,NO
23,40,0.99994402776223,YES
24,391,0.9996084573218481,YES
25,393,0.9996084573218481,YES
26,51,9.794319294809012E-5,NO
27,638,0.9996084573218481,YES
28,32,1.3058239749281798E-4,NO
29,68,1.9584802193497845E-4,NO
30,564,3.9154267815191856E-4,NO
31,588,3.9154267815191856E-4,NO
32,352,0.9996084573218481,YES
33,974,0.9996084573218481,YES
34,275,0.9996084573218481,YES
35,31,1.9584802193497845E-4,NO
36,50,0.999902056807052,YES
37,27,1.3058239749281798E-4,NO
38,183,0.9996084573218481,YES
39,50,1.9584802193497845E-4,NO
40,62,0.9998694176025071,YES
41,87,6.52997257411519E-5,NO
42,52,5.597223777006605E-5,NO
43,419,0.9996084573218481,YES
44,224,0.9998041519780649,YES
45,118,1.9584802193497845E-4,NO
46,83,1.9584802193497845E-4,NO
47,147,4.8976393378391615E-5,NO
48,58,6.52997257411519E-5,NO
49,44,6.52997257411519E-5,NO
50,106,0.9999347002742589,YES
51,238,3.9154267815191856E-4,NO
52,43,3.9154267815191856E-4,NO
53,195,0.9996084573218481,YES
54,189,0.9998041519780649,YES
55,151,0.999902056807052,YES
56,373,0.9996084573218481,YES
57,919,0.9996084573218481,YES
58,911,0.9996084573218481,YES
59,43,1.9584802193497845E-4,NO
60,325,0.9996084573218481,YES
61,27,9.794319294809012E-5,NO
62,55,5.597223777006605E-5,NO
63,93,3.9154267815191856E-4,NO
64,191,0.9996084573218481,YES
65,90,0.9999347002742589,YES
66,89,3.9154267815191856E-4,NO
67,273,0.9999347002742589,YES
68,177,0.9996084573218481,YES
69,90,0.9996084573218481,YES
70,82,3.9154267815191856E-4,NO
71,148,0.9996084573218481,YES
72,421,0.9999216423758032,YES
73,1231,0.9996084573218481,YES
74,528,0.9996084573218481,YES
75,205,0.9998041519780649,YES
76,190,0.9998041519780649,YES
77,86,0.9998694176025071,YES
78,212,0.9996084573218481,YES
79,408,0.9996084573218481,YES
80,572,3.9154267815191856E-4,NO
81,132,0.9996084573218481,YES
82,168,0.9996084573218481,YES
83,107,0.9996084573218481,YES
84,85,6.52997257411519E-5,NO
85,107,3.9154267815191856E-4,NO
86,250,3.9154267815191856E-4,NO
87,237,0.9998041519780649,YES
88,622,0.9996084573218481,YES
89,47,1.9584802193497845E-4,NO
90,1366,0.9996084573218481,YES
91,27,1.3058239749281798E-4,NO
92,89,0.9999347002742589,YES
93,509,0.9996084573218481,YES
94,227,0.9996084573218481,YES
95,129,0.9999347002742589,YES
96,97,1.9584802193497845E-4,YES
97,385,1.9584802193497845E-4,YES
98,98,9.794319294809012E-5,YES
99,41,4.8976393378391615E-5,NO
100,244,6.52997257411519E-5,NO
101,215,0.9998694176025071,YES
102,260,0.9996084573218481,YES
103,119,0.9998041519780649,YES
104,701,0.9996084573218481,YES
105,120,0.9996084573218481,NO
106,630,0.9998041519780649,YES
107,69,0.9998694176025071,YES
108,77,1.3058239749281798E-4,NO
109,97,0.999902056807052,YES
110,380,3.9154267815191856E-4,NO
111,214,6.52997257411519E-5,NO
112,38,3.9154267815191856E-4,NO
113,79,6.52997257411519E-5,NO
114,25,1.9584802193497845E-4,NO
115,84,0.40000783637645954,NO
116,34,6.52997257411519E-5,NO
117,33,1.9584802193497845E-4,NO
118,104,1.3058239749281798E-4,NO
119,193,1.9584802193497845E-4,NO
120,70,1.9584802193497845E-4,NO
121,140,1.9584802193497845E-4,NO
122,22,1.9584802193497845E-4,NO
123,156,0.9996084573218481,YES
124,142,1.9584802193497845E-4,NO
125,100,3.9154267815191856E-4,NO
126,153,3.9154267815191856E-4,NO
127,31,1.9584802193497845E-4,NO
128,340,3.9154267815191856E-4,NO
129,61,3.9154267815191856E-4,NO
130,61,3.9154267815191856E-4,NO
131,877,3.9154267815191856E-4,NO
132,62,3.9154267815191856E-4,NO
133,186,3.9154267815191856E-4,NO
134,264,1.9584802193497845E-4,NO
135,42,3.9154267815191856E-4,NO
136,248,0.9998041519780649,YES
137,358,0.9996084573218481,YES
138,199,1.9584802193497845E-4,NO
139,330,3.9154267815191856E-4,NO
140,346,0.9998041519780649,YES
141,89,3.9154267815191856E-4,NO
142,193,0.9996084573218481,YES
143,397,0.9996084573218481,YES
144,82,0.9996084573218481,YES
145,53,0.999902056807052,YES
146,148,0.9998694176025071,YES
147,4774,3.9154267815191856E-4,NO
148,4088,0.9999347002742589,YES
149,93,3.9154267815191856E-4,NO
150,76,3.9154267815191856E-4,NO
151,72,3.9154267815191856E-4,NO
152,977,0.9996084573218481,YES
153,37,3.9154267815191856E-4,NO
154,59,3.9154267815191856E-4,NO
155,133,3.9154267815191856E-4,NO
156,163,3.9154267815191856E-4,NO
157,47,1.9584802193497845E-4,NO
158,101,0.9998694176025071,YES
159,99,3.9154267815191856E-4,NO
160,151,0.9996084573218481,YES
161,556,0.9996084573218481,YES
162,386,0.9996084573218481,YES
163,296,0.9996084573218481,YES
164,135,0.9996084573218481,YES
165,56,6.52997257411519E-5,NO
166,78,0.9998041519780649,YES
167,35,3.9154267815191856E-4,NO
168,465,0.9996084573218481,YES
169,174,1.3058239749281798E-4,NO
170,148,1.3058239749281798E-4,NO
171,88,0.9996084573218481,YES
172,52,0.9996084573218481,YES
173,39,1.9584802193497845E-4,NO
174,208,0.9996084573218481,YES
175,77,6.52997257411519E-5,NO
176,666,0.9998041519780649,YES
177,146,0.9996084573218481,YES
178,302,0.9996084573218481,YES
179,54,4.8976393378391615E-5,NO
180,76,0.9996084573218481,YES
181,119,3.9154267815191856E-4,NO
182,200,0.9996084573218481,YES
183,152,1.9584802193497845E-4,NO
184,39,1.3058239749281798E-4,NO
185,677,1.9584802193497845E-4,NO
186,131,1.3058239749281798E-4,NO
187,47,6.52997257411519E-5,NO
188,100,0.9996084573218481,YES
189,43,6.52997257411519E-5,NO
190,73,1.9584802193497845E-4,NO
191,257,0.999902056807052,YES
192,62,0.9998041519780649,YES
193,45,1.9584802193497845E-4,NO
194,41,3.9154267815191856E-4,NO
195,47,3.9154267815191856E-4,NO
196,55,3.9154267815191856E-4,NO
197,1046,3.9154267815191856E-4,NO
198,133,0.9996084573218481,YES
199,147,3.9154267815191856E-4,NO
200,147,0.9996084573218481,YES
201,68,0.9996084573218481,YES
202,99,1.9584802193497845E-4,NO
203,53,1.9584802193497845E-4,NO
204,81,3.9154267815191856E-4,NO
205,77,0.9996084573218481,YES
206,69,1.9584802193497845E-4,NO
207,69,1.9584802193497845E-4,NO
208,77,1.9584802193497845E-4,NO
209,72,3.9154267815191856E-4,NO
210,72,1.9584802193497845E-4,NO
211,63,1.9584802193497845E-4,NO
212,50,1.9584802193497845E-4,NO
213,28,1.9584802193497845E-4,NO
