ID, Size, Predicted, Actual
0,215,0.9996889580093312,YES
1,271,0.6665629860031104,YES
2,458,0.9990680335507922,YES
3,137,0.7142285638085079,YES
4,357,0.9995335820895522,YES
5,1243,0.9990680335507922,YES
6,51,0.142952393652487,NO
7,154,0.9997666822211853,YES
8,31,1.1668611435239207E-4,NO
9,934,0.9995335820895522,YES
10,180,1.8667164457718873E-4,NO
11,260,0.9995335820895522,YES
12,584,0.9990680335507922,YES
13,40,0.9996889580093312,YES
14,372,4.6641791044776124E-4,YES
15,388,0.9990680335507922,YES
16,51,0.142952393652487,NO
17,609,0.9990680335507922,YES
18,32,0.666632092106628,NO
19,66,1.3335111348179759E-4,NO
20,180,1.8667164457718873E-4,YES
21,587,0.9990680335507922,YES
22,164,9.319664492078286E-4,YES
23,50,0.18187218874649919,YES
24,27,4.9137634514274483E-5,NO
25,938,0.9995335820895522,YES
26,60,1.8667164457718873E-4,NO
27,62,0.3846319569120287,YES
28,87,0.3334370139968896,NO
29,52,0.2501166588894074,NO
30,270,0.6665629860031104,YES
31,163,0.7498833411105926,YES
32,109,0.33338518979464843,NO
33,147,0.4285904787304974,NO
34,58,0.12504376239934648,NO
35,44,1.8667164457718873E-4,NO
36,106,0.666632092106628,YES
37,151,0.9995335820895522,YES
38,352,0.9990680335507922,YES
39,715,0.9990680335507922,YES
40,876,9.319664492078286E-4,YES
41,356,0.9990680335507922,YES
42,27,4.9137634514274483E-5,NO
43,55,2.333177788147457E-4,NO
44,191,0.9998133283554228,YES
45,90,0.9998833138856477,YES
46,271,0.6665629860031104,NO
47,137,0.7142285638085079,YES
48,79,0.142952393652487,NO
49,82,4.6641791044776124E-4,NO
50,147,0.4285904787304974,YES
51,422,0.3334370139968896,NO
52,1030,0.9990680335507922,YES
53,529,0.9990680335507922,YES
54,189,0.7498833411105926,YES
55,167,0.9995335820895522,YES
56,84,0.250038898397386,YES
57,195,0.6665629860031104,YES
58,374,0.5999626656710846,YES
59,126,0.9995335820895522,YES
60,106,0.666632092106628,YES
61,109,0.33338518979464843,YES
62,85,0.25005834305717617,NO
63,236,0.9996889580093312,YES
64,314,0.9995335820895522,YES
65,813,0.9990680335507922,YES
66,27,4.9137634514274483E-5,NO
67,89,0.6666148102053516,YES
68,300,0.9996889580093312,YES
69,166,0.9990680335507922,YES
70,92,0.6428380901573753,NO
71,492,0.9990680335507922,YES
72,93,0.3334370139968896,NO
73,244,0.3334370139968896,NO
74,183,0.5555440307022094,YES
75,250,0.9990680335507922,YES
76,109,0.33338518979464843,NO
77,602,0.3334370139968896,YES
78,565,0.9995335820895522,YES
79,69,0.5999626656710846,YES
80,77,0.1667185311965147,NO
81,97,0.9990680335507922,YES
82,337,4.6641791044776124E-4,NO
83,214,2.333177788147457E-4,NO
84,79,0.142952393652487,NO
85,25,3.110419906687403E-4,NO
86,84,0.250038898397386,NO
87,34,0.6666148102053516,NO
88,33,3.110419906687403E-4,NO
89,104,0.4000373343289154,NO
90,172,0.5,NO
91,70,1.3335111348179759E-4,NO
92,140,0.5,NO
93,154,0.9997666822211853,YES
94,356,0.9990680335507922,NO
95,248,0.9996889580093312,YES
96,276,0.9990680335507922,YES
97,176,0.9990680335507922,YES
98,637,0.9990680335507922,YES
99,86,0.4000373343289154,YES
100,53,0.2001120029867463,YES
101,132,0.4000186706497386,NO
102,4088,0.9995335820895522,YES
103,577,0.9995335820895522,YES
104,758,0.9990680335507922,YES
105,101,0.4444559692977907,YES
106,515,0.9990680335507922,YES
107,327,0.9996889580093312,YES
108,273,0.5999626656710846,YES
109,136,0.9996889580093312,YES
110,56,0.4444559692977907,NO
111,74,0.1739395169474325,NO
112,359,0.9990680335507922,YES
113,174,2.333177788147457E-4,NO
114,148,0.5,NO
115,92,0.6428380901573753,YES
116,45,0.1111917850845348,NO
117,168,0.7498833411105926,YES
118,77,0.1667185311965147,NO
119,664,0.5,YES
120,88,0.2857714361914922,NO
121,261,9.319664492078286E-4,YES
122,54,1.0372368011617053E-4,NO
123,51,0.142952393652487,YES
124,140,0.5,YES
125,152,4.6641791044776124E-4,NO
126,39,8.486803021301876E-5,NO
127,131,4.6641791044776124E-4,NO
