ID, Size, Predicted, Actual
0,227,0.0654648466129987,NO
1,276,0.06658854595577261,NO
2,460,0.06925731868554469,NO
3,138,0.06372542192025205,NO
4,355,0.06768113113985096,NO
5,23,0.061927593618635056,NO
6,31,0.061927593618635056,NO
7,109,0.06313228442322405,NO
8,44,0.061927593618635056,NO
9,72,0.06253292000422114,NO
10,99,0.06313228442322405,NO
11,103,0.06313228442322405,NO
12,20,0.061927593618635056,NO
13,137,0.9854112363096268,NO
14,1699,0.08044534899505648,NO
15,45,0.061927593618635056,NO
16,200,0.06489196390492369,NO
17,2583,0.076111224075261,NO
18,55,0.06253292000422114,NO
19,204,0.06489196390492369,NO
20,59,0.06253292000422114,NO
21,102,0.06313228442322405,NO
22,34,0.061927593618635056,NO
23,83,0.06313228442322405,NO
24,114,0.06372542192025205,NO
25,60,0.06253292000422114,NO
26,512,0.07026349435100494,NO
27,87,0.06313228442322405,NO
28,130,0.06372542192025205,NO
29,37,0.061927593618635056,NO
30,101,0.06313228442322405,NO
31,1185,0.0782246630767477,NO
32,455,0.06925731868554469,NO
33,40,0.061927593618635056,NO
34,518,0.07026349435100494,NO
35,382,0.06821513076951145,NO
36,49,0.06253292000422114,NO
37,586,0.07123178951685492,NO
38,32,0.061927593618635056,NO
39,73,0.06253292000422114,NO
40,633,0.07216039577543466,NO
41,681,0.07260926803011895,NO
42,470,0.06976502615799834,NO
43,1015,0.0764840313610665,NO
44,278,0.06658854595577261,NO
45,31,0.061927593618635056,NO
46,36,0.061927593618635056,NO
47,58,0.06253292000422114,NO
48,172,0.06431206901858093,NO
49,86,0.06313228442322405,NO
50,162,0.06431206901858093,NO
51,53,0.06253292000422114,NO
52,415,0.06874060729585127,NO
53,200,0.06489196390492369,NO
54,264,0.06603045920570476,NO
55,166,0.06431206901858093,NO
56,38,0.061927593618635056,NO
57,117,0.06372542192025205,NO
58,85,0.06313228442322405,NO
59,66,0.06253292000422114,NO
60,60,0.06253292000422114,NO
61,37,0.061927593618635056,NO
62,233,0.0654648466129987,NO
63,37,0.061927593618635056,NO
64,239,0.0654648466129987,NO
65,40,0.061927593618635056,NO
66,208,0.06489196390492369,NO
67,189,0.06489196390492369,NO
68,22,0.061927593618635056,NO
69,262,0.06603045920570476,NO
70,489,0.06976502615799834,NO
71,1417,0.07965139028473868,NO
72,1376,0.07948872024727267,NO
73,66,0.06253292000422114,NO
74,438,0.06925731868554469,NO
