ID, Size, Predicted, Actual
0,212,0.0789061874836874,NO
1,274,0.07963135450659714,YES
2,461,0.08290785165626335,NO
3,138,0.07739120132439306,NO
4,358,0.0816696126067461,NO
5,85,0.07579465631973104,NO
6,1307,0.08899977666547469,YES
7,51,0.0749676002262539,NO
8,45,0.0749676002262539,NO
9,157,0.07739120132439306,NO
10,31,0.0749676002262539,NO
11,1711,0.9898257918915812,YES
12,55,0.0749676002262539,NO
13,204,0.0789061874836874,NO
14,55,0.0749676002262539,NO
15,103,0.07660276725840366,NO
16,34,0.0749676002262539,NO
17,83,0.07579465631973104,NO
18,488,0.08348903089374847,NO
19,83,0.07579465631973104,NO
20,129,0.07660276725840366,NO
21,883,0.9900595635394874,YES
22,440,0.08290785165626335,NO
23,40,0.0749676002262539,NO
24,391,0.08230119046239338,NO
25,393,0.08230119046239338,NO
26,51,0.0749676002262539,NO
27,638,0.08554842534433355,YES
28,32,0.0749676002262539,NO
29,68,0.07579465631973104,YES
30,564,0.08457279567374924,YES
31,588,0.0850743660294799,NO
32,352,0.0816696126067461,YES
33,974,0.088512065120316,NO
34,275,0.07963135450659714,NO
35,31,0.0749676002262539,NO
36,50,0.0749676002262539,NO
37,27,0.0749676002262539,NO
38,183,0.07815924171160664,NO
39,50,0.0749676002262539,NO
40,62,0.07579465631973104,NO
41,87,0.07579465631973104,NO
42,52,0.0749676002262539,NO
43,419,0.08230119046239338,YES
44,224,0.0789061874836874,NO
45,118,0.07660276725840366,YES
46,83,0.07579465631973104,NO
47,147,0.07739120132439306,NO
48,58,0.07579465631973104,NO
49,44,0.0749676002262539,NO
50,106,0.07660276725840366,YES
51,238,0.0789061874836874,NO
52,43,0.0749676002262539,NO
53,195,0.07815924171160664,YES
54,189,0.07815924171160664,NO
55,151,0.07739120132439306,NO
56,373,0.0816696126067461,YES
57,919,0.0883024946654151,YES
58,911,0.0883024946654151,YES
59,43,0.0749676002262539,NO
60,325,0.0810137051888636,YES
61,27,0.0749676002262539,NO
62,55,0.0749676002262539,NO
63,93,0.07660276725840366,NO
64,191,0.07815924171160664,NO
65,90,0.07579465631973104,NO
66,89,0.07579465631973104,NO
67,273,0.07963135450659714,NO
68,177,0.07815924171160664,NO
69,90,0.07579465631973104,NO
70,82,0.07579465631973104,NO
71,148,0.07739120132439306,NO
72,421,0.08230119046239338,NO
73,1231,0.08911030788127522,YES
74,528,0.08404418541191098,NO
75,205,0.0789061874836874,NO
76,190,0.07815924171160664,NO
77,86,0.07579465631973104,NO
78,212,0.0789061874836874,YES
79,408,0.08230119046239338,YES
80,572,0.0850743660294799,NO
81,132,0.07739120132439306,NO
82,168,0.07815924171160664,NO
83,107,0.07660276725840366,NO
84,85,0.07579465631973104,NO
85,107,0.07660276725840366,NO
86,250,0.07963135450659714,NO
87,237,0.0789061874836874,NO
88,622,0.08554842534433355,YES
89,47,0.0749676002262539,NO
90,1366,0.08876437808178228,YES
91,27,0.0749676002262539,NO
92,89,0.07579465631973104,NO
93,509,0.08404418541191098,YES
94,227,0.0789061874836874,NO
95,129,0.07660276725840366,YES
96,97,0.9884477349632221,YES
97,385,0.0816696126067461,NO
98,98,0.9884477349632221,YES
99,41,0.0749676002262539,NO
100,244,0.07963135450659714,NO
101,215,0.0789061874836874,NO
102,260,0.07963135450659714,NO
103,119,0.07660276725840366,NO
104,701,0.08641225241655637,NO
105,120,0.07660276725840366,YES
106,630,0.08554842534433355,YES
107,69,0.07579465631973104,NO
108,77,0.07579465631973104,NO
109,97,0.07660276725840366,NO
110,380,0.0816696126067461,NO
111,214,0.0789061874836874,NO
112,38,0.0749676002262539,NO
113,79,0.07579465631973104,NO
114,25,0.0749676002262539,NO
115,84,0.07579465631973104,NO
116,34,0.0749676002262539,NO
117,33,0.0749676002262539,NO
118,104,0.07660276725840366,NO
119,193,0.07815924171160664,NO
120,70,0.07579465631973104,NO
121,140,0.07739120132439306,NO
122,22,0.0749676002262539,NO
123,156,0.07739120132439306,NO
124,142,0.07739120132439306,NO
125,100,0.07660276725840366,YES
126,153,0.07739120132439306,NO
127,31,0.0749676002262539,NO
128,340,0.0810137051888636,NO
129,61,0.07579465631973104,NO
130,61,0.07579465631973104,NO
131,877,0.08806236269656666,NO
132,62,0.07579465631973104,NO
133,186,0.07815924171160664,NO
134,264,0.07963135450659714,NO
135,42,0.0749676002262539,NO
136,248,0.07963135450659714,NO
137,358,0.0816696126067461,YES
138,199,0.07815924171160664,YES
139,330,0.0810137051888636,YES
140,346,0.0810137051888636,YES
141,89,0.07579465631973104,NO
142,193,0.07815924171160664,YES
143,397,0.08230119046239338,YES
144,82,0.07579465631973104,NO
145,53,0.0749676002262539,NO
146,148,0.07739120132439306,NO
147,4774,0.015798337742179654,YES
148,4088,0.028692250443945067,NO
149,93,0.07660276725840366,NO
150,76,0.07579465631973104,NO
151,72,0.07579465631973104,NO
152,977,0.088512065120316,YES
153,37,0.0749676002262539,NO
154,59,0.07579465631973104,NO
155,133,0.07739120132439306,NO
156,163,0.07739120132439306,NO
157,47,0.0749676002262539,NO
158,101,0.07660276725840366,NO
159,99,0.07660276725840366,NO
160,151,0.07739120132439306,NO
161,556,0.08457279567374924,YES
162,386,0.0816696126067461,NO
163,296,0.08033407635464415,YES
164,135,0.07739120132439306,NO
165,56,0.07579465631973104,NO
166,78,0.07579465631973104,NO
167,35,0.0749676002262539,NO
168,465,0.08348903089374847,YES
169,174,0.07815924171160664,NO
170,148,0.07739120132439306,NO
171,88,0.07579465631973104,NO
172,52,0.0749676002262539,NO
173,39,0.0749676002262539,NO
174,208,0.0789061874836874,YES
175,77,0.07579465631973104,NO
176,666,0.08599452759245467,NO
177,146,0.07739120132439306,NO
178,302,0.08033407635464415,YES
179,54,0.0749676002262539,NO
180,76,0.07579465631973104,NO
181,119,0.07660276725840366,NO
182,200,0.07815924171160664,NO
183,152,0.07739120132439306,NO
184,39,0.0749676002262539,NO
185,677,0.08599452759245467,NO
186,131,0.07739120132439306,NO
187,47,0.0749676002262539,NO
188,100,0.07660276725840366,NO
