ID, Size, Predicted, Actual
0,212,0.08859165589054736,NO
1,274,0.0903763067432543,NO
2,461,0.9906291523763511,YES
3,138,0.08673643915087491,NO
4,358,0.09208514983191202,NO
5,93,0.08578405355466374,NO
6,1371,0.10528374264534388,YES
7,51,0.08481606758619196,NO
8,45,0.08481606758619196,NO
9,157,0.08767253376106454,NO
10,31,0.08481606758619196,NO
11,1708,0.9917960405478706,YES
12,55,0.08481606758619196,NO
13,204,0.08859165589054736,NO
14,55,0.08481606758619196,NO
15,103,0.08673643915087491,NO
16,34,0.08481606758619196,NO
17,83,0.08578405355466374,NO
18,488,0.09449528497392513,NO
19,83,0.08578405355466374,NO
20,129,0.08673643915087491,NO
21,885,1.0,YES
22,440,0.09371313483887345,NO
23,40,0.08481606758619196,NO
24,391,0.9905405688575606,YES
25,393,0.09290955716828714,NO
26,51,0.08481606758619196,NO
27,709,0.9911476064859206,YES
28,32,0.08481606758619196,NO
29,68,0.08578405355466374,YES
30,564,0.09599298458719158,YES
31,588,0.09670741353038523,NO
32,381,0.09208514983191202,YES
33,977,0.9914632917802756,YES
34,275,0.0903763067432543,NO
35,31,0.08481606758619196,NO
36,50,0.08481606758619196,NO
37,27,0.08481606758619196,NO
38,183,0.08859165589054736,NO
39,50,0.08481606758619196,NO
40,62,0.08578405355466374,NO
41,87,0.08578405355466374,NO
42,52,0.08481606758619196,NO
43,419,0.09290955716828714,NO
44,224,0.08949313390277917,NO
45,118,0.08673643915087491,YES
46,83,0.08578405355466374,NO
47,147,0.08767253376106454,NO
48,120,0.08673643915087491,NO
49,58,0.08481606758619196,NO
50,44,0.08481606758619196,NO
51,106,0.08673643915087491,NO
52,238,0.08949313390277917,NO
53,43,0.08481606758619196,NO
54,195,1.0,YES
55,189,0.08859165589054736,NO
56,151,0.08767253376106454,NO
57,364,0.09208514983191202,NO
58,910,0.10152944634228177,NO
59,911,0.10152944634228177,NO
60,43,0.08481606758619196,NO
61,325,0.09124052464742705,NO
62,27,0.08481606758619196,NO
63,55,0.08481606758619196,NO
64,93,0.08578405355466374,NO
65,191,0.08859165589054736,NO
66,90,0.08578405355466374,NO
67,89,0.08578405355466374,NO
68,273,0.0903763067432543,NO
69,153,0.08767253376106454,NO
70,92,0.9896832948240997,YES
71,82,0.08578405355466374,NO
72,148,0.08767253376106454,NO
73,433,0.9906291523763511,YES
74,1231,1.0,YES
75,528,0.9907950244117572,YES
76,205,0.9900373627507476,YES
77,190,0.08859165589054736,NO
78,86,0.08578405355466374,NO
79,213,0.08859165589054736,NO
80,408,0.09290955716828714,NO
81,572,0.09599298458719158,NO
82,132,0.08673643915087491,NO
83,168,0.08767253376106454,NO
84,107,0.9898059408593172,YES
85,85,0.08578405355466374,NO
86,107,0.08673643915087491,NO
87,250,0.08949313390277917,NO
88,237,0.08949313390277917,NO
89,622,0.9909463981208697,YES
90,47,0.08481606758619196,NO
91,1487,1.0,YES
92,27,0.08481606758619196,NO
93,89,0.08578405355466374,NO
94,481,0.9907139417545481,YES
95,227,0.9901463877635499,YES
96,166,0.08767253376106454,NO
97,92,0.08578405355466374,YES
98,476,0.09449528497392513,NO
99,93,0.08578405355466374,YES
100,244,0.08949313390277917,NO
101,204,0.08859165589054736,NO
102,252,0.08949313390277917,NO
103,119,0.08673643915087491,NO
104,733,0.09870663588390888,NO
105,630,0.09739817500494442,NO
106,69,0.08578405355466374,NO
107,77,0.08578405355466374,NO
108,97,0.08578405355466374,NO
109,380,0.09208514983191202,NO
110,214,0.08859165589054736,NO
111,38,0.08481606758619196,NO
112,79,0.08578405355466374,NO
113,25,0.08481606758619196,NO
114,84,0.08578405355466374,NO
115,34,0.08481606758619196,NO
