ID, Size, Predicted, Actual
0,215,0.0040238552871312535,NO
1,271,0.004164991508363212,YES
2,458,0.004478305938934137,YES
3,137,0.003971602240655289,NO
4,357,0.004255089980773073,NO
5,1243,1.0,YES
6,51,0.0039015040419284135,NO
7,154,0.003971602240655289,NO
8,31,0.0039015040419284135,NO
9,934,0.8845878173999026,YES
10,180,0.0040238552871312535,NO
11,260,0.004088134963121248,NO
12,584,0.8468909592586361,YES
13,40,0.0039015040419284135,NO
14,372,0.9996410993324701,YES
15,388,0.004359219757219202,NO
16,51,0.0039015040419284135,NO
17,609,0.8468909592586361,YES
18,32,0.0039015040419284135,NO
19,66,0.0039015040419284135,NO
20,180,0.818320378548608,YES
21,587,0.004936891167120483,NO
22,164,0.003971602240655289,NO
23,50,0.0039015040419284135,NO
24,27,0.0039015040419284135,NO
25,938,1.0,YES
26,60,0.0039015040419284135,NO
27,62,0.0039015040419284135,NO
28,87,0.003930932619869471,NO
29,52,0.0039015040419284135,NO
30,270,0.823410145044298,YES
31,163,0.003971602240655289,NO
32,109,0.003930932619869471,NO
33,147,0.003971602240655289,NO
34,58,0.0039015040419284135,NO
35,44,0.0039015040419284135,NO
36,106,0.8148068940447479,YES
37,151,0.003971602240655289,NO
38,352,0.8265135397282547,YES
39,715,0.8621757471536294,YES
40,876,0.8788563516712782,YES
41,356,0.7091650223300564,YES
42,27,0.0039015040419284135,NO
43,55,0.0039015040419284135,NO
44,191,0.0040238552871312535,NO
45,90,0.003930932619869471,NO
46,271,0.004164991508363212,YES
47,137,0.003971602240655289,NO
48,79,0.003930932619869471,NO
49,82,0.003930932619869471,NO
50,147,0.003971602240655289,NO
51,422,0.004478305938934137,YES
52,1030,1.0,YES
53,529,1.0,YES
54,189,0.0040238552871312535,YES
55,167,0.8163611483028991,YES
56,84,0.003930932619869471,NO
57,195,0.818320378548608,YES
58,374,0.004359219757219202,YES
59,126,0.003971602240655289,YES
60,106,0.003930932619869471,NO
61,109,0.003930932619869471,NO
62,85,0.003930932619869471,NO
63,236,0.004088134963121248,NO
64,314,0.004164991508363212,YES
65,813,0.8731903709080363,YES
66,27,0.0039015040419284135,NO
