ID, Size, Predicted, Actual
0,215,6.415398617864415E-11,NO
1,272,3.191077450925525E-7,YES
2,459,7.3708603829639E-8,YES
3,137,9.945761620765167E-12,NO
4,357,1.0731448024670106E-11,NO
5,1243,0.3610076771517887,YES
6,51,8.734689326916599E-12,NO
7,154,1.0146539367788533E-11,NO
8,31,9.86748234096442E-12,NO
9,1332,1.0,YES
10,180,9.958615084656022E-12,NO
11,260,1.585248043261164E-8,NO
12,584,1.1486605687406137E-11,YES
13,40,9.86748234096442E-12,NO
14,372,1.0933639088484647E-10,YES
15,388,4.14763138236866E-11,NO
16,51,1.0036781485359341E-11,NO
17,609,9.578102079153949E-12,YES
18,32,1.0036781485359341E-11,NO
19,66,8.466343140754933E-12,YES
20,180,1.5980997133114283E-8,YES
21,587,4.177968934727307E-9,YES
22,164,3.6103751821208435E-7,NO
23,50,1.1812419009176777E-11,NO
24,27,1.0205088109013476E-11,NO
25,938,1.3478203381927664E-9,NO
26,60,9.62470724497497E-12,NO
27,62,1.5314791165880654E-11,NO
28,87,1.1049481241250773E-11,NO
29,52,1.0026451645349691E-11,NO
30,270,1.4736695417907275E-11,NO
31,163,1.0759830353411364E-10,NO
32,109,8.906934147203082E-12,YES
33,147,1.1452210098941881E-10,NO
34,58,1.0026451645349691E-11,NO
35,44,9.683785054920214E-12,NO
36,106,1.3557108633581789E-11,NO
37,151,9.957647036371318E-12,NO
38,352,6.491202682065783E-8,YES
39,715,1.0,YES
40,883,1.0,YES
41,356,1.675391043963908E-4,YES
42,27,1.0227174963634849E-11,NO
43,55,9.86748234096442E-12,NO
44,191,1.520773740010002E-11,NO
45,90,9.954875508594814E-12,NO
46,271,3.850690548169802E-6,YES
47,137,3.683195086658771E-10,NO
48,79,1.1624862822192524E-11,YES
49,82,1.5969193958119358E-12,NO
50,147,4.5627391073772137E-11,NO
51,422,3.782840281081531E-6,YES
52,1081,1.0,YES
53,529,1.319422607000045E-12,YES
54,189,1.0,YES
55,167,9.715536426570298E-11,NO
56,84,9.769551273835865E-12,NO
57,197,1.0,YES
58,374,1.3610280745422634E-4,YES
59,126,6.511900514833512E-8,YES
60,167,6.9391597812199415E-6,YES
61,109,1.4172171644838998E-11,YES
62,85,9.733942328899672E-12,NO
63,236,1.670897632332822E-11,NO
64,394,0.022618314077792127,YES
65,837,1.0,YES
66,27,9.648488718463274E-12,NO
67,89,1.0483977182803274E-11,NO
68,483,0.32063708158729903,YES
69,166,5.8072245073794046E-11,NO
70,92,6.267237722363868E-10,NO
71,477,7.084576466991878E-8,YES
72,93,6.267237722363868E-10,NO
73,244,1.727312512825466E-11,NO
74,204,5.030543389239908E-8,YES
75,250,1.2986795461929638E-11,NO
76,119,2.3511794187196065E-7,YES
77,729,0.39661395213744954,YES
78,630,1.0,YES
79,69,5.786702187311319E-12,NO
80,77,1.2082608369564009E-11,NO
81,97,1.0115252753788693E-11,NO
82,374,7.048530708360596E-10,NO
83,214,8.42031796155617E-12,NO
84,38,6.604011856125348E-10,NO
85,79,1.022603412509561E-11,NO
86,25,5.4567906406019376E-12,NO
87,84,9.769551273835865E-12,NO
88,34,8.258962328217702E-12,NO
89,33,1.0391939067954085E-11,NO
90,104,8.4354842468037E-12,NO
91,193,6.087913932159474E-10,NO
92,70,8.465447617378147E-12,NO
93,140,1.562782793101516E-11,NO
94,22,3.5306456908267935E-10,NO
95,154,2.7109552833538472E-11,NO
96,356,1.051826459407398E-11,NO
97,248,1.0106763598479862E-11,NO
98,283,1.0,YES
99,176,1.0078161976529058E-11,NO
100,637,5.008107009503511E-9,NO
101,86,1.7128807947596042E-10,NO
102,53,9.4455295643084E-12,NO
103,148,3.219158980325307E-7,YES
104,4088,2.4038539846089856E-7,NO
105,583,1.2482574473249025E-7,YES
106,823,1.0,YES
107,101,3.6848686167458875E-11,NO
108,565,1.0,YES
109,360,1.0,YES
110,280,1.0,YES
111,136,3.4810833772362995E-7,YES
112,56,8.697926209917638E-12,NO
113,78,2.8329255970463E-7,YES
114,406,1.9098105966479785E-4,YES
115,174,1.1704288143076893E-11,NO
116,148,1.0466972734855521E-11,NO
