ID, Size, Predicted, Actual
0,215,1.0,YES
1,273,0.5742142857142856,YES
2,460,0.35,YES
3,138,0.995,YES
4,358,0.9291666666666667,YES
5,1248,1.0,YES
6,51,0.23349206349206356,NO
7,157,0.99,YES
8,31,0.0,NO
9,981,1.0,YES
10,180,0.1,NO
11,262,1.0,YES
12,553,1.0,YES
13,40,0.85,YES
14,369,0.9,YES
15,390,1.0,YES
16,51,0.23349206349206356,NO
17,577,1.0,YES
18,32,0.7171624764124764,NO
19,66,0.0,NO
20,188,1.0,YES
21,582,1.0,YES
22,160,0.34663492063492063,YES
23,50,0.1517375957375958,YES
24,27,0.0,NO
25,923,1.0,YES
26,60,0.02,NO
27,62,0.34034189271340975,YES
28,87,0.4974285714285714,NO
29,52,0.3366428571428572,NO
30,268,0.76875,YES
31,163,0.9258095238095239,YES
32,109,0.3837857142857144,NO
33,147,0.39729686979686973,NO
34,58,0.0,NO
35,44,0.006666666666666666,NO
36,106,0.7490357142857144,NO
37,139,0.9406666666666667,YES
38,326,0.8,YES
39,648,0.6933333333333332,YES
40,792,1.0,YES
41,319,1.0,YES
42,55,0.030297619047619045,NO
43,191,1.0,YES
44,90,1.0,YES
45,273,0.5742142857142856,NO
46,137,0.525884004884005,YES
47,79,0.2305396825396825,NO
48,82,0.0585,NO
49,147,0.39729686979686973,YES
50,422,0.35,NO
51,979,1.0,YES
52,495,0.74,YES
53,189,1.0,YES
54,167,1.0,YES
55,86,0.03,YES
56,182,0.8411527777777777,YES
57,361,0.98,YES
58,126,0.99,YES
59,106,0.7490357142857144,YES
60,109,0.3837857142857144,YES
61,85,0.3162085137085136,NO
62,236,1.0,YES
63,315,1.0,YES
64,695,1.0,YES
65,27,0.0,NO
66,89,0.6848015873015874,YES
67,301,0.94,YES
68,153,0.5224418636918636,YES
69,92,0.7346140032138484,NO
70,466,0.96,YES
71,93,0.4781825396825397,NO
72,244,0.5459999999999999,NO
73,192,1.0,YES
74,252,0.88,YES
75,109,0.3837857142857144,NO
76,601,0.35,NO
77,565,0.36,YES
78,69,0.6503928571428572,YES
79,77,0.233216144966145,NO
80,94,0.4030164280164279,NO
81,337,0.41,NO
82,214,0.1,NO
83,79,0.2305396825396825,NO
84,25,0.0,NO
85,84,0.24866849816849818,NO
86,34,0.5849206349206348,NO
87,33,0.1717142857142857,NO
88,104,0.5685476190476191,NO
89,172,0.6933809523809524,NO
90,70,0.0,NO
91,140,0.568857142857143,NO
92,156,0.26,YES
93,248,0.9116666666666667,YES
94,277,0.9733333333333333,YES
95,189,1.0,NO
96,194,1.0,NO
97,346,1.0,YES
98,304,0.31,NO
99,356,0.5726904761904761,YES
100,84,0.24866849816849818,YES
101,53,0.0,YES
102,132,0.4826630591630592,NO
103,4088,1.0,YES
104,691,1.0,YES
105,47,0.1330830835830836,NO
106,101,0.0,YES
107,510,1.0,YES
108,328,0.93,YES
109,273,0.5742142857142856,YES
110,136,0.9406944444444444,YES
111,56,0.620531746031746,NO
112,74,0.1958697879348034,NO
113,359,0.9566666666666667,YES
114,174,0.07,NO
115,148,0.48149705849705865,NO
116,92,0.7346140032138484,YES
117,45,0.16031024531024532,NO
118,168,0.99,YES
119,77,0.233216144966145,NO
120,666,0.17,YES
121,88,0.19183189033189035,NO
122,262,1.0,YES
123,54,0.0,NO
124,48,0.10347562160062164,YES
125,140,0.568857142857143,YES
126,152,0.14760317460317463,NO
127,39,0.0,NO
128,131,0.16836716061716062,NO
129,47,0.1330830835830836,NO
130,129,0.9508333333333333,YES
131,43,0.28516797091797097,NO
132,243,0.8135,YES
133,62,0.34034189271340975,YES
134,45,0.16031024531024532,NO
135,97,0.10228453884660976,YES
136,476,1.0,NO
137,77,0.233216144966145,NO
138,69,0.6503928571428572,NO
139,104,0.5685476190476191,NO
140,115,0.9258333333333333,NO
141,421,0.82,NO
142,61,0.749218259810365,NO
143,2009,1.0,YES
144,179,0.65,NO
145,106,0.7490357142857144,NO
146,33,0.1717142857142857,NO
147,657,0.166,NO
148,295,0.95,NO
149,872,0.39,NO
150,444,0.72,NO
151,168,0.99,NO
152,752,1.0,NO
153,135,0.8832539682539682,NO
154,1126,1.0,NO
155,163,0.9258095238095239,NO
156,184,0.9570454545454545,NO
157,51,0.23349206349206356,NO
158,25,0.0,NO
159,180,0.1,NO
160,64,0.38048528922058344,NO
161,101,0.0,NO
162,512,1.0,NO
163,187,1.0,NO
164,56,0.620531746031746,NO
165,39,0.0,NO
166,261,1.0,NO
167,73,0.1958697879348034,NO
168,65,0.62,NO
169,329,0.93,NO
170,64,0.38048528922058344,NO
171,164,1.0,NO
172,624,0.5545000000000001,YES
173,74,0.1958697879348034,NO
174,117,0.6029285714285715,NO
175,84,0.24866849816849818,NO
176,226,0.42102380952380963,YES
177,76,0.010508658008658009,NO
178,323,0.32,NO
179,72,0.12962129537129535,NO
180,42,0.1458908036408037,NO
181,48,0.10347562160062164,NO
182,89,0.6848015873015874,YES
183,380,1.0,YES
184,141,0.9583333333333333,YES
185,148,0.48149705849705865,YES
186,191,1.0,YES
187,46,0.2318849206349206,NO
188,165,1.0,YES
189,171,0.5964999999999999,NO
190,56,0.620531746031746,NO
191,179,0.65,YES
192,74,0.1958697879348034,NO
193,36,1.0,YES
194,37,0.0,NO
195,34,0.5849206349206348,YES
196,34,0.5849206349206348,YES
197,38,0.4873954656454656,NO
198,39,0.0,NO
199,156,0.26,NO
200,84,0.24866849816849818,NO
201,117,0.6029285714285715,YES
202,94,0.4030164280164279,NO
203,71,0.005500000000000001,NO
204,183,0.5242974386724388,YES
205,85,0.3162085137085136,NO
206,183,0.5242974386724388,YES
207,70,0.0,NO
208,54,0.0,NO
209,160,0.34663492063492063,NO
210,125,0.97,YES
211,151,0.78,YES
212,422,0.35,YES
213,221,0.9875,YES
214,50,0.1517375957375958,NO
215,42,0.1458908036408037,YES
216,624,0.5545000000000001,NO
217,377,1.0,YES
218,383,1.0,YES
219,72,0.12962129537129535,NO
220,92,0.7346140032138484,NO
221,282,0.97,YES
222,371,0.35,NO
223,47,0.1330830835830836,NO
224,108,0.6731904761904762,YES
225,111,0.003333333333333333,NO
226,319,1.0,YES
227,129,0.9508333333333333,YES
228,49,0.0,NO
229,358,0.9291666666666667,YES
230,277,0.9733333333333333,YES
231,49,0.0,NO
232,89,0.6848015873015874,NO
233,41,0.0,NO
234,66,0.0,NO
235,63,0.11223193309958021,NO
236,24,0.0,NO
237,50,0.1517375957375958,NO
238,72,0.12962129537129535,NO
239,47,0.1330830835830836,NO
240,47,0.1330830835830836,NO
241,183,0.5242974386724388,NO
242,49,0.0,NO
243,50,0.1517375957375958,NO
244,98,0.10228453884660976,NO
245,143,1.0,YES
246,43,0.28516797091797097,NO
247,42,0.1458908036408037,NO
248,56,0.620531746031746,YES
249,44,0.006666666666666666,NO
250,26,0.0,NO
251,254,0.94,YES
252,16883,1.0,YES
253,74,0.1958697879348034,NO
254,153,0.5224418636918636,NO
255,68,0.9645,YES
256,100,0.38250000000000006,NO
257,550,1.0,YES
258,437,1.0,YES
259,1038,1.0,YES
260,104,0.5685476190476191,YES
261,332,0.89,YES
262,123,0.5927014652014653,NO
263,106,0.7490357142857144,YES
264,106,0.7490357142857144,YES
265,94,0.4030164280164279,YES
266,101,0.0,YES
267,38,0.4873954656454656,YES
268,628,0.5445000000000001,YES
269,32,0.7171624764124764,YES
270,111,0.003333333333333333,NO
271,35,0.48541017316017304,NO
272,90,1.0,YES
273,27,0.0,NO
274,28,0.0,NO
275,92,0.7346140032138484,YES
276,956,1.0,YES
277,67,0.36883333333333324,NO
278,29,0.246702380952381,NO
279,105,0.8474498556998558,NO
280,72,0.12962129537129535,NO
281,37,0.0,NO
282,47,0.1330830835830836,YES
283,31,0.0,NO
284,90,1.0,YES
285,223,0.8031666666666666,YES
286,214,0.1,NO
287,107,0.8469285714285714,YES
288,37,0.0,NO
289,27,0.0,NO
290,48,0.10347562160062164,NO
291,167,1.0,YES
292,213,0.63,YES
293,867,0.39,YES
294,159,0.03152380952380953,NO
295,100,0.38250000000000006,YES
296,96,0.5458166000666,YES
297,842,0.93,YES
298,525,1.0,YES
299,83,0.23213095238095238,YES
300,63,0.11223193309958021,NO
301,76,0.010508658008658009,NO
302,202,0.9373333333333334,YES
303,155,0.06369444444444446,YES
304,1263,1.0,YES
305,74,0.1958697879348034,NO
306,101,0.0,NO
307,27,0.0,NO
308,22,0.0,NO
309,491,0.97,YES
310,62,0.34034189271340975,NO
311,59,0.0,NO
312,99,0.4599273504273505,NO
313,27,0.0,NO
314,77,0.233216144966145,NO
315,846,0.93,YES
316,64,0.38048528922058344,YES
317,45,0.16031024531024532,NO
318,63,0.11223193309958021,NO
319,54,0.0,NO
320,64,0.38048528922058344,NO
321,132,0.4826630591630592,NO
322,177,1.0,YES
323,70,0.0,NO
324,36,1.0,YES
325,58,0.0,NO
326,62,0.34034189271340975,NO
327,132,0.4826630591630592,YES
328,74,0.1958697879348034,YES
329,86,0.03,YES
330,74,0.1958697879348034,NO
331,48,0.10347562160062164,NO
332,74,0.1958697879348034,NO
333,86,0.03,NO
334,355,0.9641666666666667,YES
335,53,0.0,NO
336,804,1.0,YES
337,75,0.3817857142857143,NO
338,125,0.97,YES
339,200,0.9884999999999999,YES
340,134,0.426,NO
341,57,0.41864538239538235,NO
342,123,0.5927014652014653,YES
343,266,0.7837500000000001,YES
344,162,0.5100357142857141,NO
345,130,0.43449999999999994,NO
346,108,0.6731904761904762,NO
347,354,0.9866666666666667,YES
348,88,0.19183189033189035,YES
349,28,0.0,NO
350,58,0.0,YES
351,308,0.31,YES
352,343,0.93,YES
353,103,0.39326190476190465,NO
354,35,0.48541017316017304,YES
355,98,0.10228453884660976,NO
356,117,0.6029285714285715,YES
