ID, Size, Predicted, Actual
0,198,0.04,NO
1,107,0.8422346155624189,NO
2,69,0.4330865904310303,NO
3,70,0.0,NO
4,30,0.0,NO
5,553,1.0,NO
6,685,0.93,NO
7,526,1.0,NO
8,1473,1.0,NO
9,1077,0.86,NO
10,1320,1.0,NO
11,410,0.99375,NO
12,1296,1.0,NO
13,1318,1.0,NO
14,260,1.0,NO
15,113,0.87,NO
16,90,0.9169827053294521,NO
17,313,1.0,NO
18,209,0.33,NO
19,3340,1.0,NO
20,68,0.7715294298065195,NO
21,300,1.0,NO
22,202,1.0,NO
23,389,1.0,NO
24,70,0.0,NO
25,296,0.96,NO
26,92,0.5938267340056229,NO
27,192,0.9337857142857143,NO
28,66,0.0,NO
29,463,1.0,NO
30,169,0.9653613445378152,NO
31,384,1.0,NO
32,195,0.99,NO
33,1118,0.71,NO
34,78,0.727165258760847,NO
35,100,0.48105357469265786,NO
36,104,0.29585700481149385,NO
37,43,0.07862231403486286,NO
38,311,1.0,NO
39,834,1.0,NO
40,57,0.3182126028855904,NO
41,259,1.0,NO
42,399,1.0,NO
43,233,1.0,NO
44,74,0.17336935092240535,NO
45,55,0.0,NO
46,229,0.8620079365079365,NO
47,373,0.9293333333333333,NO
48,21,0.0,NO
49,926,1.0,NO
50,21,0.0,NO
51,621,0.9213512043512043,NO
52,37,0.0,NO
53,35,0.45707394124972617,NO
54,32,0.5923677942957134,NO
55,83,0.6262223772083009,NO
56,458,1.0,NO
57,54,0.0,NO
58,92,0.5938267340056229,NO
59,32,0.5923677942957134,NO
60,536,1.0,NO
61,24,0.0,NO
62,37,0.0,NO
63,34,0.6182514776706172,NO
64,34,0.6182514776706172,NO
65,25,0.0,NO
66,21,0.0,NO
67,76,0.13790664918985765,NO
68,31,0.0,NO
69,32,0.5923677942957134,NO
70,186,0.031746031746031744,NO
71,91,0.349662346390169,NO
72,356,0.49256565656565654,NO
73,28,0.0,NO
74,40,0.7217491139321633,NO
75,21,0.0,NO
76,54,0.0,NO
77,103,0.1342812182638707,NO
78,76,0.13790664918985765,NO
79,29,0.11418480130980128,NO
80,47,0.13941236088073194,NO
81,132,0.45324843468706805,NO
82,21,0.0,NO
83,41,0.0,NO
84,43,0.07862231403486286,NO
85,34,0.6182514776706172,NO
86,21,0.0,NO
87,98,0.09259634424260535,NO
88,61,0.10190093484946428,NO
89,124,0.4889484126984127,NO
90,89,0.57989407544817,NO
91,374,0.6060000000000001,NO
92,133,0.7053134920634921,NO
93,750,0.0,NO
94,164,0.34131854256854244,NO
95,103,0.1342812182638707,NO
96,361,1.0,NO
97,21,0.0,NO
98,128,1.0,NO
99,175,0.99,NO
100,37,0.0,NO
101,60,0.0,NO
102,21,0.0,NO
103,41,0.0,NO
104,183,0.6854602671445662,NO
105,57,0.3182126028855904,NO
106,60,0.0,NO
107,34,0.6182514776706172,NO
108,21,0.0,NO
109,76,0.13790664918985765,NO
110,73,0.0,NO
111,58,0.1646715292229024,NO
112,54,0.0,NO
113,24,0.0,NO
114,21,0.0,NO
115,519,1.0,NO
116,43,0.07862231403486286,NO
117,33,0.0,NO
118,36,1.0,NO
119,38,0.4222425573926269,NO
120,28,0.0,NO
121,34,0.6182514776706172,NO
122,36,1.0,NO
123,34,0.6182514776706172,NO
124,95,0.2772046038756565,NO
125,126,1.0,NO
126,38,0.4222425573926269,NO
127,1336,1.0,NO
128,133,0.7053134920634921,NO
129,21,0.0,NO
130,228,0.587218253968254,NO
131,72,0.024410796249878148,NO
132,42,0.272033896456568,NO
133,162,0.19139410671028315,NO
134,87,0.2519351979719627,NO
135,33,0.0,NO
136,34,0.6182514776706172,NO
137,46,0.10316823454323458,NO
138,21,0.0,NO
139,400,1.0,NO
140,39,0.0,NO
141,225,1.0,NO
142,51,0.08972335441864014,NO
143,66,0.0,NO
144,184,0.1884563492063493,NO
145,51,0.08972335441864014,NO
146,120,0.025500000000000002,NO
147,69,0.4330865904310303,NO
148,21,0.0,NO
149,180,0.18020261089959233,NO
150,211,1.0,NO
151,61,0.10190093484946428,NO
152,21,0.0,NO
153,113,0.87,NO
154,66,0.0,NO
155,72,0.024410796249878148,NO
156,74,0.17336935092240535,NO
157,33,0.0,NO
158,21,0.0,NO
159,24,0.0,NO
160,63,0.028011564033345863,NO
161,58,0.1646715292229024,NO
162,45,0.0732977158088889,NO
163,84,0.2008630532224101,NO
164,1526,1.0,NO
165,21,0.0,NO
166,46,0.10316823454323458,NO
167,46,0.10316823454323458,NO
168,51,0.08972335441864014,NO
169,38,0.4222425573926269,NO
170,40,0.7217491139321633,NO
171,109,0.4539930075084873,NO
172,172,0.36700402375402386,NO
173,51,0.08972335441864014,NO
174,60,0.0,NO
175,42,0.272033896456568,NO
176,59,0.0,NO
177,120,0.025500000000000002,NO
178,151,1.0,NO
179,2679,1.0,NO
180,243,0.9369444444444445,NO
181,21,0.0,NO
182,102,0.1342812182638707,NO
183,56,0.31822134241496125,NO
184,65,0.2019776334776334,NO
185,227,0.587218253968254,NO
186,134,0.0028571428571428567,NO
187,502,1.0,NO
188,179,0.6321251903411346,NO
189,131,0.09735442335442336,NO
190,241,0.9658333333333333,NO
191,480,1.0,NO
192,47,0.13941236088073194,NO
193,83,0.6262223772083009,NO
