ID, Size, Predicted, Actual
0,215,1.0,YES
1,274,0.8873041337747221,YES
2,461,1.0,YES
3,138,1.0,YES
4,358,1.0,YES
5,1248,1.0,YES
6,51,0.1938409090909092,NO
7,45,0.08353326304758193,NO
8,157,1.0,YES
9,31,0.0,NO
10,1008,1.0,YES
11,55,0.005384615384615384,NO
12,204,0.7563412698412698,NO
13,55,0.005384615384615384,NO
14,103,0.2562297424797425,NO
15,83,0.7237641247641249,YES
16,262,0.9536666666666666,YES
17,83,0.7237641247641249,NO
18,867,0.96,YES
19,40,0.97,YES
20,387,1.0,YES
21,390,1.0,YES
22,51,0.1938409090909092,NO
23,637,1.0,YES
24,32,0.6371062964812965,NO
25,68,0.9966666666666667,NO
26,547,1.0,NO
27,566,1.0,NO
28,314,1.0,YES
29,839,1.0,YES
30,211,0.95,YES
31,31,0.0,NO
32,50,0.1964996829156844,YES
33,27,0.0,NO
34,175,0.97,YES
35,50,0.1964996829156844,NO
36,62,0.4159275124323784,YES
37,87,0.22925396825396827,NO
38,52,0.20103246753246753,NO
39,373,0.87,YES
40,224,1.0,YES
41,118,0.8881511821511822,NO
42,83,0.7237641247641249,NO
43,147,0.43196872571872563,NO
44,58,0.11070167574365332,NO
45,44,0.0,NO
46,106,0.9286342424345521,YES
47,189,0.8111262626262626,YES
48,151,0.98,YES
49,352,1.0,YES
50,849,1.0,YES
51,877,0.69,YES
52,41,0.0,NO
53,319,1.0,YES
54,27,0.0,NO
55,55,0.005384615384615384,NO
56,94,0.5491729310421261,NO
57,191,1.0,YES
58,90,1.0,YES
59,90,1.0,NO
60,271,0.5888665223665225,NO
61,152,0.04375824175824176,YES
62,90,1.0,NO
63,82,0.036527777777777784,NO
64,147,0.43196872571872563,YES
65,422,0.2747186147186148,NO
66,1059,0.99,YES
67,530,1.0,YES
68,205,0.9303690476190476,YES
69,190,1.0,YES
70,86,0.44756573981573977,YES
71,207,0.3740833333333333,YES
72,397,1.0,YES
73,573,1.0,NO
74,126,1.0,YES
75,167,1.0,YES
76,109,0.3636603641456582,YES
77,85,0.18253590853590848,NO
78,237,1.0,YES
79,424,0.7514329004329006,YES
80,47,0.15197347891485727,NO
81,1118,0.39,YES
82,27,0.0,NO
83,89,0.6963091108238169,YES
84,474,0.3,YES
85,166,1.0,YES
86,92,0.5963211619455461,NO
87,476,0.3,YES
88,93,0.37546825396825406,NO
89,244,0.22539682539682537,NO
90,204,0.7563412698412698,YES
91,252,1.0,YES
92,109,0.3636603641456582,NO
93,618,0.39896428571428566,YES
94,565,1.0,YES
95,69,0.6668492063492064,YES
96,77,0.13718637373890766,NO
97,97,0.904076324389405,YES
98,343,0.99,NO
99,214,0.0,NO
100,79,0.09983749583749585,NO
101,25,0.0,NO
102,84,0.2708082026426184,NO
103,34,0.6410935355494178,NO
104,33,0.008,NO
105,104,0.292499000999001,NO
106,172,0.41242207792207797,NO
107,70,0.0,NO
108,140,0.469005106005106,NO
109,156,0.23131349206349205,YES
110,142,1.0,NO
111,152,0.04375824175824176,NO
112,31,0.0,NO
113,60,0.0,NO
114,60,0.0,NO
115,876,0.69,NO
116,61,0.4804912231996329,NO
117,185,0.8748333333333334,NO
118,264,0.9620000000000001,NO
119,43,0.17189796765841667,NO
120,248,1.0,YES
121,310,1.0,YES
122,199,1.0,NO
123,194,0.41,NO
124,346,1.0,YES
125,90,1.0,NO
126,335,0.64,NO
127,372,0.68,YES
128,84,0.2708082026426184,YES
129,53,0.28499333999333987,YES
130,148,0.4379720345014463,NO
131,4088,1.0,YES
132,860,0.98,YES
133,47,0.15197347891485727,NO
134,101,0.5349916890441186,YES
135,517,0.9,YES
136,327,1.0,YES
137,275,1.0,YES
138,136,0.9985714285714287,YES
139,56,0.42718389157282355,NO
140,74,0.1672792656920718,NO
141,362,1.0,YES
142,174,0.02,NO
143,148,0.4379720345014463,NO
144,92,0.5963211619455461,YES
145,45,0.08353326304758193,NO
146,39,0.0,NO
147,182,0.9374555254686834,YES
148,77,0.13718637373890766,NO
149,666,0.8358333333333333,YES
150,88,0.26466633366633363,NO
151,263,0.9536666666666666,YES
152,54,0.0,NO
153,76,0.003181818181818182,YES
154,132,0.36714108736980255,NO
155,160,0.2769734848484849,YES
156,152,0.04375824175824176,NO
157,39,0.0,NO
158,677,0.98,NO
159,131,0.01195027195027195,NO
160,47,0.15197347891485727,NO
161,129,1.0,YES
162,43,0.17189796765841667,NO
163,73,0.04624210873034893,NO
164,257,1.0,YES
165,356,0.6624285714285715,NO
166,62,0.4159275124323784,YES
167,45,0.08353326304758193,NO
168,97,0.904076324389405,YES
169,131,0.01195027195027195,YES
170,68,0.9966666666666667,NO
171,99,0.26528388278388276,NO
172,53,0.28499333999333987,NO
173,81,0.48532142857142846,NO
174,78,0.6351111111111112,NO
175,69,0.6668492063492064,NO
176,69,0.6668492063492064,NO
177,77,0.13718637373890766,NO
178,72,0.06268764323537847,NO
179,72,0.06268764323537847,NO
180,63,0.06297684572274018,NO
181,50,0.1964996829156844,NO
182,28,0.0,NO
183,96,0.8186190476190477,NO
184,40,0.97,NO
185,76,0.003181818181818182,NO
186,49,0.0,NO
187,63,0.06297684572274018,NO
188,55,0.005384615384615384,NO
189,45,0.08353326304758193,NO
190,476,0.3,NO
191,77,0.13718637373890766,NO
192,69,0.6668492063492064,NO
193,104,0.292499000999001,NO
194,115,0.4042777777777778,NO
195,421,0.6181666666666666,NO
196,61,0.4804912231996329,NO
197,2009,1.0,YES
198,179,0.7385277777777778,NO
199,106,0.9286342424345521,NO
200,33,0.008,NO
201,657,0.27416666666666667,NO
202,295,0.37,NO
203,872,0.31,NO
204,444,0.34,NO
205,168,0.7896547619047619,NO
206,752,0.33,NO
207,135,0.43,NO
208,1126,0.39,NO
209,163,0.7774642857142857,NO
210,184,0.5555416666666667,NO
211,51,0.1938409090909092,NO
212,25,0.0,NO
213,180,0.15293348318348318,NO
214,64,0.356695643341642,NO
215,101,0.5349916890441186,NO
216,512,0.28,NO
217,187,0.5875238095238096,NO
218,56,0.42718389157282355,NO
219,39,0.0,NO
220,261,0.6496428571428572,NO
221,73,0.04624210873034893,NO
222,65,0.4676666666666667,NO
223,329,0.38,NO
224,64,0.356695643341642,NO
225,164,0.53,NO
226,624,0.39896428571428566,YES
227,74,0.1672792656920718,NO
228,117,0.8881511821511822,NO
229,84,0.2708082026426184,NO
230,226,0.7775,YES
231,76,0.003181818181818182,NO
232,323,0.29,NO
233,72,0.06268764323537847,NO
234,42,0.22334471618441532,NO
235,48,0.12802018597730674,NO
236,89,0.6963091108238169,YES
237,380,1.0,YES
238,141,0.9883333333333333,YES
239,148,0.4379720345014463,YES
240,191,1.0,YES
241,46,0.17842388167388165,NO
242,165,1.0,YES
243,171,0.26614285714285707,NO
244,56,0.42718389157282355,NO
245,179,0.7385277777777778,YES
246,74,0.1672792656920718,NO
247,36,1.0,YES
248,37,0.0,NO
249,34,0.6410935355494178,YES
250,34,0.6410935355494178,YES
251,38,0.505530955155955,NO
252,39,0.0,NO
253,156,0.23131349206349205,NO
254,84,0.2708082026426184,NO
255,117,0.8881511821511822,YES
256,94,0.5491729310421261,NO
257,71,0.0,NO
258,183,0.6244177687637441,YES
259,85,0.18253590853590848,NO
260,183,0.6244177687637441,YES
261,70,0.0,NO
262,54,0.0,NO
263,160,0.2769734848484849,NO
264,128,1.0,YES
265,151,0.98,YES
266,422,0.2747186147186148,YES
267,221,1.0,YES
268,50,0.1964996829156844,NO
269,42,0.22334471618441532,YES
270,624,0.39896428571428566,NO
271,377,1.0,YES
272,382,1.0,YES
273,72,0.06268764323537847,NO
274,92,0.5963211619455461,NO
275,282,1.0,YES
276,371,0.04,NO
277,47,0.15197347891485727,NO
278,108,0.599457459207459,YES
279,111,0.0,NO
280,319,1.0,YES
281,129,1.0,YES
282,49,0.0,NO
283,358,1.0,YES
284,277,1.0,YES
285,49,0.0,NO
286,89,0.6963091108238169,NO
287,41,0.0,NO
288,66,0.0,NO
289,63,0.06297684572274018,NO
290,24,0.0,NO
291,50,0.1964996829156844,NO
292,72,0.06268764323537847,NO
293,47,0.15197347891485727,NO
294,47,0.15197347891485727,NO
295,183,0.6244177687637441,NO
296,49,0.0,NO
297,50,0.1964996829156844,NO
298,98,0.06415865704642795,NO
299,143,1.0,YES
300,43,0.17189796765841667,NO
301,42,0.22334471618441532,NO
302,56,0.42718389157282355,YES
303,44,0.0,NO
304,26,0.0,NO
305,254,1.0,YES
306,16883,1.0,YES
307,74,0.1672792656920718,NO
308,153,0.4511088503000268,NO
309,68,0.9966666666666667,YES
310,100,0.5242607392607394,NO
311,550,1.0,YES
312,437,0.99,YES
313,1038,1.0,YES
314,104,0.292499000999001,YES
315,332,0.93,YES
316,123,0.5729469141969142,NO
317,106,0.9286342424345521,YES
318,106,0.9286342424345521,YES
319,94,0.5491729310421261,YES
320,101,0.5349916890441186,YES
321,38,0.505530955155955,YES
322,628,0.8315833333333333,YES
323,32,0.6371062964812965,YES
324,111,0.0,NO
325,35,0.4926786563110093,NO
326,90,1.0,YES
327,27,0.0,NO
328,28,0.0,NO
329,92,0.5963211619455461,YES
330,979,1.0,YES
331,67,0.19890873015873017,NO
332,29,0.193248778998779,NO
333,105,0.6339755179461063,NO
334,72,0.06268764323537847,NO
335,37,0.0,NO
336,47,0.15197347891485727,YES
337,31,0.0,NO
338,90,1.0,YES
339,223,1.0,YES
340,214,0.0,NO
341,107,0.979452380952381,YES
342,37,0.0,NO
343,27,0.0,NO
344,48,0.12802018597730674,NO
345,167,1.0,YES
346,213,0.95,YES
347,867,0.96,YES
348,159,0.006666666666666665,NO
349,100,0.5242607392607394,YES
350,96,0.8186190476190477,YES
351,842,1.0,YES
352,535,1.0,YES
353,83,0.7237641247641249,YES
354,63,0.06297684572274018,NO
355,76,0.003181818181818182,NO
356,202,0.998,YES
357,155,0.9426904761904763,YES
358,1263,1.0,YES
359,74,0.1672792656920718,NO
360,101,0.5349916890441186,NO
361,27,0.0,NO
362,22,0.0,NO
363,491,1.0,YES
364,62,0.4159275124323784,NO
365,59,0.0,NO
366,99,0.26528388278388276,NO
367,27,0.0,NO
368,77,0.13718637373890766,NO
369,863,0.98,YES
370,64,0.356695643341642,YES
371,45,0.08353326304758193,NO
372,63,0.06297684572274018,NO
373,54,0.0,NO
374,64,0.356695643341642,NO
375,132,0.36714108736980255,NO
376,182,0.9374555254686834,YES
377,70,0.0,NO
378,36,1.0,YES
379,58,0.11070167574365332,NO
380,62,0.4159275124323784,NO
381,132,0.36714108736980255,YES
382,74,0.1672792656920718,YES
383,86,0.44756573981573977,YES
384,74,0.1672792656920718,NO
385,48,0.12802018597730674,NO
386,74,0.1672792656920718,NO
387,86,0.44756573981573977,NO
388,355,0.99,YES
389,53,0.28499333999333987,NO
390,804,1.0,YES
391,75,0.2835,NO
392,125,1.0,YES
393,200,1.0,YES
394,134,0.04,NO
395,57,0.36409937284937294,NO
396,123,0.5729469141969142,YES
397,266,0.9940000000000001,YES
398,162,0.3359444444444444,NO
399,130,0.28411904761904766,NO
400,108,0.599457459207459,NO
401,354,1.0,YES
402,88,0.26466633366633363,YES
403,28,0.0,NO
404,58,0.11070167574365332,YES
405,308,0.99,YES
406,343,0.99,YES
407,103,0.2562297424797425,NO
408,35,0.4926786563110093,YES
409,98,0.06415865704642795,NO
410,117,0.8881511821511822,YES
