ID, Size, Predicted, Actual
0,215,0.98,YES
1,271,0.5594999999999999,YES
2,458,0.88,YES
3,137,0.48930952380952386,YES
4,357,0.98,YES
5,1243,0.93,YES
6,51,0.0,NO
7,154,0.98,YES
8,31,0.0,NO
9,934,1.0,YES
10,180,0.0,NO
11,260,0.995,YES
12,584,1.0,YES
13,40,0.97,YES
14,372,0.98,YES
15,388,1.0,YES
16,51,0.075,NO
17,609,0.83,YES
18,32,0.5597673437673438,NO
19,66,0.03,NO
20,180,0.98,YES
21,587,1.0,YES
22,164,0.7883333333333333,YES
23,50,0.5822619047619048,YES
24,27,0.0,NO
25,938,1.0,YES
26,60,0.0375,NO
27,62,0.9,YES
28,87,0.01,NO
29,52,0.0,NO
30,270,0.6936666666666667,YES
31,163,0.98,YES
32,109,0.05,NO
33,147,0.02,NO
34,58,0.0,NO
35,44,0.0,NO
36,106,0.12,YES
37,151,0.89,YES
38,352,1.0,YES
39,715,0.79,YES
40,876,0.91,YES
41,356,1.0,YES
42,27,0.0,NO
43,55,0.03216666666666667,NO
44,191,0.99,YES
45,90,0.93,YES
46,271,0.5387261904761903,NO
47,137,0.8942857142857144,YES
48,79,0.015,NO
49,82,0.06297619047619046,NO
50,147,0.87,YES
51,422,0.17,NO
52,1030,1.0,YES
53,529,1.0,YES
54,189,1.0,YES
55,167,0.99,YES
56,84,0.4890515873015871,YES
57,195,1.0,YES
58,374,0.95,YES
59,126,1.0,YES
60,106,0.93,YES
61,109,0.94,YES
62,85,0.02,NO
63,236,1.0,YES
64,314,1.0,YES
65,813,1.0,YES
66,27,0.0,NO
67,89,1.0,YES
68,300,0.995,YES
69,166,1.0,YES
70,92,0.12,NO
71,492,0.99,YES
72,93,0.05,NO
73,244,0.14,NO
74,183,0.7157817460317459,YES
75,250,1.0,YES
76,109,0.05,NO
77,602,0.47,YES
78,565,1.0,YES
79,69,0.9058333333333333,YES
80,77,0.0475,NO
81,97,0.5828297258297259,YES
82,337,0.11,NO
83,214,0.14,NO
84,79,0.03,NO
85,25,0.0,NO
86,84,0.4890515873015871,NO
87,34,0.6760371572871573,NO
88,33,0.09,NO
89,104,0.04,NO
90,172,0.01,NO
91,70,0.0033333333333333335,NO
92,140,0.03,NO
93,154,0.92,YES
94,356,0.97,NO
95,248,0.98,YES
96,276,1.0,YES
97,176,0.71,YES
98,637,0.89,YES
99,86,0.08416666666666665,YES
100,53,0.58,YES
101,132,0.02,NO
102,4088,1.0,YES
103,577,1.0,YES
104,758,1.0,YES
105,101,0.8015882352941176,YES
106,515,1.0,YES
107,327,1.0,YES
108,273,0.5274166666666666,YES
109,136,0.96,YES
110,56,0.0,NO
111,74,0.0,NO
112,359,1.0,YES
113,174,0.0,NO
114,148,0.02,NO
115,92,0.99,YES
116,45,0.0,NO
117,168,0.6617857142857143,YES
118,77,0.35988492063492056,NO
119,664,0.5375238095238095,YES
120,88,0.05,NO
121,261,0.995,YES
122,54,0.0,NO
123,51,0.16,YES
124,140,0.97,YES
125,152,0.0825,NO
126,39,0.0,NO
127,131,0.11,NO
128,47,0.3248553946053946,NO
129,129,0.93,YES
130,43,0.034333333333333334,NO
131,257,0.98,YES
132,62,0.91,YES
133,45,0.0825,NO
134,94,0.23434920634920636,YES
135,72,0.005,NO
136,42,0.0033333333333333335,NO
137,48,0.0,NO
138,89,1.0,YES
139,380,1.0,YES
140,138,0.99,YES
141,142,0.98,YES
142,191,1.0,YES
143,46,0.0,NO
144,165,1.0,YES
145,171,0.0,NO
146,56,0.02,NO
147,179,0.87,YES
148,74,0.0,NO
149,36,0.99,YES
150,37,0.0075,NO
151,34,0.6760371572871573,YES
152,34,0.6760371572871573,YES
153,38,0.31510209235209236,NO
154,39,0.01,NO
155,156,0.13,NO
156,84,0.3125238095238095,NO
157,117,1.0,YES
158,94,0.013333333333333334,NO
159,71,0.01,NO
160,183,0.99,YES
161,85,0.05166666666666665,NO
162,183,0.5258415750915751,YES
163,70,0.0,NO
164,54,0.0,NO
165,160,0.15,NO
166,125,0.9833333333333333,YES
167,151,0.98,YES
168,421,0.94,YES
169,219,0.92,YES
170,50,0.006666666666666666,NO
171,42,0.3204848484848485,YES
172,624,0.1,NO
173,377,1.0,YES
174,382,0.99,YES
175,72,0.09,NO
176,92,0.2631428571428571,NO
177,284,0.99,YES
178,371,0.15,NO
179,47,0.02592857142857143,NO
180,108,1.0,YES
181,111,0.08,NO
182,319,1.0,YES
183,129,0.99375,YES
184,49,0.0,NO
185,358,1.0,YES
186,277,0.99,YES
187,49,0.0,NO
188,89,0.13,NO
189,41,0.0,NO
190,66,0.0,NO
191,63,0.20551190476190476,NO
192,24,0.0,NO
193,50,0.006666666666666666,NO
194,72,0.0,NO
195,47,0.3248553946053946,NO
196,47,0.0025,NO
197,183,0.5258415750915751,NO
198,49,0.0,NO
199,50,0.006666666666666666,NO
200,98,0.09918039313627551,NO
201,143,0.99,YES
202,43,0.0,NO
203,42,0.3204848484848485,NO
204,56,0.7953964646464646,YES
205,44,0.0,NO
206,26,0.0,NO
207,254,0.99,YES
208,16883,1.0,YES
209,74,0.06,NO
210,153,0.01,NO
211,68,0.96,YES
212,100,0.099,NO
213,549,1.0,YES
214,437,0.99,YES
215,1033,0.99,YES
216,101,0.93,YES
217,331,1.0,YES
218,123,0.06,NO
219,106,0.96,YES
220,106,1.0,YES
221,93,0.98125,YES
222,101,0.4791904761904761,YES
223,38,0.9231428571428572,YES
224,584,1.0,YES
225,32,0.5597673437673438,YES
226,111,0.0,NO
227,35,0.02,NO
228,90,0.97,YES
229,27,0.0,NO
230,28,0.0,NO
231,92,0.8859999999999999,YES
232,907,0.77,YES
233,67,0.06,NO
234,29,0.0,NO
235,105,0.11,NO
236,72,0.246547619047619,NO
237,37,0.0,NO
238,47,0.3248553946053946,YES
239,31,0.0,NO
240,90,0.9393333333333334,YES
241,223,0.96,YES
242,214,0.11,NO
243,107,0.78,YES
244,37,0.0,NO
245,27,0.0,NO
246,48,0.03166666666666666,NO
247,166,0.94,YES
248,213,0.93,YES
249,866,1.0,YES
250,159,0.07,NO
251,100,0.94,YES
252,96,0.6530833333333335,YES
253,841,1.0,YES
254,525,0.95,YES
255,83,0.5150238095238094,YES
256,63,0.0,NO
257,76,0.02,NO
258,202,0.99,YES
259,155,0.89,YES
260,1262,1.0,YES
261,74,0.0,NO
262,101,0.03,NO
263,27,0.0,NO
264,22,0.0,NO
265,489,0.97,YES
266,62,0.04,NO
267,59,0.04,NO
268,99,0.05142857142857142,NO
269,27,0.0,NO
270,77,0.0075,NO
271,862,1.0,YES
272,64,0.94,YES
273,45,0.0,NO
274,63,0.0,NO
275,54,0.0,NO
276,64,0.0,NO
277,132,0.5132738095238097,NO
278,177,0.99,YES
279,70,0.0033333333333333335,NO
280,36,1.0,YES
281,58,0.0,NO
282,62,0.07,NO
283,132,0.5132738095238097,YES
284,74,0.93,YES
285,83,0.8603730158730158,YES
286,74,0.0,NO
287,48,0.0,NO
288,74,0.0,NO
289,86,0.02,NO
290,355,0.97,YES
291,53,0.0,NO
292,798,1.0,YES
293,75,0.03,NO
294,125,0.9933333333333333,YES
295,200,0.97,YES
296,134,0.13333333333333333,NO
297,57,0.0,NO
298,123,0.98,YES
299,204,0.96,YES
300,162,0.02,NO
301,130,0.08,NO
302,108,0.05,NO
303,353,1.0,YES
304,80,0.905,YES
305,28,0.0,NO
306,57,0.94,YES
307,306,1.0,YES
308,340,0.98,YES
309,103,0.01,NO
310,35,0.96,YES
311,98,0.09918039313627551,NO
312,117,0.6141666666666666,YES
