RELEASE_ID,FILE_NAME,SIZE,LOC_ADDED,LOC_ADDED_AVG,LOC_ADDED_MAX,LOC_REMOVED,LOC_REMOVED_AVG,LOC_REMOVED_MAX,LOC_TOUCHED,LOC_TOUCHED_AVG,LOC_TOUCHED_MAX,CHURN,CHURN_AVG,CHURN_MAX,NUMBER_OF_REVISIONS,NUMBER_OF_DEFECT_FIXES,NUMBER_OF_AUTHORS,IS_BUGGY
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,137,1586,396.5,425,444,111.0,94,2030,507.5,425,1190,297.5,425,4,0,2,NO
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,244,1953,390.6,425,566,113.2,94,2519,503.8,425,1463,292.6,425,5,1,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1026,16791,1199.357142857143,545,2229,159.21428571428572,411,19020,1358.5714285714287,545,15804,1128.857142857143,545,14,2,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,92,20675,6891.666666666667,545,6892,2297.3333333333335,1631,27567,9189.0,1688,20615,6871.666666666667,1574,3,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,30127,7531.75,1665,10984,2746.0,1631,41111,10277.75,1688,30251,7562.75,1665,4,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,471,36287,4031.8888888888887,1665,12116,1346.2222222222222,1631,48403,5378.111111111111,1688,35715,3968.3333333333335,1665,9,1,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,204,40346,8069.2,1665,14381,2876.2,1631,54727,10945.4,1688,39263,7852.6,1665,5,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,551,51351,7335.857142857143,1665,18550,2650.0,1631,69901,9985.857142857143,1688,47841,6834.428571428572,1665,7,2,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,149,53116,10623.2,1665,20285,4057.0,1631,73401,14680.2,1688,50709,10141.8,1665,5,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,157,54956,18318.666666666668,1665,21074,7024.666666666667,1631,76030,25343.333333333332,1688,52336,17445.333333333332,1665,3,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,147,56353,56353.0,1665,21348,21348.0,1631,77701,77701.0,1688,53511,53511.0,1665,1,0,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,137,73828,14765.6,1665,24919,4983.8,1631,98747,19749.4,1688,70253,14050.6,1665,5,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,271,74320,18580.0,1665,24972,6243.0,1631,99292,24823.0,1688,70692,17673.0,1665,4,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,548,75823,8424.777777777777,1665,25704,2856.0,1631,101527,11280.777777777777,1688,71831,7981.222222222223,1665,9,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,728,78899,13149.833333333334,1665,26960,4493.333333333333,1631,105859,17643.166666666668,1688,74327,12387.833333333334,1665,6,1,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,205,82385,20596.25,1665,28625,7156.25,1631,111010,27752.5,1688,77070,19267.5,1665,4,1,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,50,83476,41738.0,1665,29416,14708.0,1631,112892,56446.0,1688,78302,39151.0,1665,2,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,185,84447,16889.4,1665,29628,5925.6,1631,114075,22815.0,1688,79095,15819.0,1665,5,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,61,84644,28214.666666666668,1665,29712,9904.0,1631,114356,38118.666666666664,1688,79230,26410.0,1665,3,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,157,87349,10918.625,1665,30289,3786.125,1631,117638,14704.75,1688,81444,10180.5,1665,8,1,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,81,88011,22002.75,1665,30552,7638.0,1631,118563,29640.75,1688,81919,20479.75,1665,4,0,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,84,88261,29420.333333333332,1665,30653,10217.666666666666,1631,118914,39638.0,1688,82092,27364.0,1665,3,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,762,91097,7591.416666666667,1665,31912,2659.3333333333335,1631,123009,10250.75,1688,83861,6988.416666666667,1665,12,1,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,248,95290,13612.857142857143,1665,34235,4890.714285714285,1631,129525,18503.571428571428,1688,86999,12428.42857142857,1665,7,1,3,YES
