---------- RELEASES List/ ---------

Release[id= 12317843, releaseName= 4.0.0, releaseDate= 2011-12-07, numOfCommits= 102]

Release[id= 12319145, releaseName= 4.1.0, releaseDate= 2012-06-13, numOfCommits= 120]

Release[id= 12320244, releaseName= 4.2.0, releaseDate= 2013-01-19, numOfCommits= 218]

Release[id= 12323840, releaseName= 4.2.1, releaseDate= 2013-03-27, numOfCommits= 33]

Release[id= 12324601, releaseName= 4.2.2, releaseDate= 2013-10-10, numOfCommits= 104]

Release[id= 12323267, releaseName= 4.3.0, releaseDate= 2014-02-02, numOfCommits= 35]

Release[id= 12325569, releaseName= 4.2.3, releaseDate= 2014-06-27, numOfCommits= 60]

Release[id= 12328755, releaseName= 4.3.1, releaseDate= 2015-05-24, numOfCommits= 109]

Release[id= 12333529, releaseName= 4.3.2, releaseDate= 2015-11-17, numOfCommits= 21]

Release[id= 12325566, releaseName= 4.4.0, releaseDate= 2016-05-16, numOfCommits= 48]

Release[id= 12335340, releaseName= 4.5.0, releaseDate= 2017-08-10, numOfCommits= 367]

Release[id= 12341342, releaseName= 4.5.1, releaseDate= 2017-09-10, numOfCommits= 116]

Release[id= 12335749, releaseName= 4.6.0, releaseDate= 2017-11-10, numOfCommits= 109]

